ad_id,plan,content,pic_num,item_id,seller_user_id,placed_date
OBX7K,platinum,General simple cost develop left.,2,81CD0,5NRYI,2022-04-22
5BPPR,platinum,Again big role stand consider.,1,CZ8HX,CVK2U,2022-06-21
0E2P2,gold,Culture far share.,1,9PSME,4PJSD,2022-06-10
K2E1Z,silver,,2,P3Q01,IP7TK,2022-10-25
WUFTB,other,,2,GYBWK,DZC76,2022-03-11
QMZY1,other,Pressure would truth.,1,J60K0,G7ZYX,2022-03-03
C3WIR,silver,Produce list run safe.,1,KOPC4,05M7F,2022-01-24
Z47IC,gold,Detail value plant nature day.,1,8XMVH,Z6UIX,2022-04-25
WXAEM,gold,Around almost amount themselves test.,1,XYSW0,4UMXE,2022-08-24
4CUBU,other,Cut beyond maintain bag.,1,F3WL1,ZST93,2022-06-13
R0JJZ,silver,Not before painting sure whom.,2,68Q33,Y10ZO,2022-09-22
KII4C,gold,Present carry break majority low.,1,4SGJZ,TJX73,2022-09-12
YLWFF,platinum,Fly play pay real good.,2,FYKAL,LAAAV,2022-05-09
MQUQQ,other,Hour whom inside establish son.,1,F851I,MQBSG,2022-01-04
J29JC,platinum,Dinner write usually team remember.,1,CRJ9N,Z6UIX,2022-08-09
CUEM3,platinum,Doctor nature cup whom poor send.,1,ETORL,Y10ZO,2022-05-15
7KVI4,gold,Child investment yourself still.,2,JF1A2,3KFLS,2022-10-18
7VAFG,other,Better child computer either.,2,ANXVB,DNCLE,2022-10-08
2VY6X,gold,,1,4UAZW,426K8,2022-06-10
BLIBV,platinum,,1,R912K,YAK94,2022-07-13
DTYDK,silver,Remember rich yeah simple guess member.,2,Q1HVC,C9XKL,2022-01-25
E0D2W,silver,Create agree likely off anything pick.,1,ADZWR,UDZHR,2022-02-10
30LB3,silver,,2,NAA18,FWB4W,2022-04-14
YEWGH,gold,,2,B53W6,RJWPA,2022-07-28
LZAU3,other,,2,6EPJN,6WQ8P,2022-03-07
D8ZQB,gold,Hospital machine cell cell.,1,8F2RM,6FWZI,2022-04-20
FVWG4,gold,,1,W053N,U29GK,2022-06-06
7SCAY,silver,,2,WBWBB,ZB7CT,2022-06-14
9JKLK,platinum,Learn argue glass matter upon.,2,G2VQD,O83AN,2022-03-29
VB4ZC,platinum,,1,CFGAT,ZST93,2022-04-25
SVKPW,platinum,,2,QZ2C4,AZB2M,2022-06-26
03XIY,gold,,1,ZOV7D,87U6Q,2022-05-02
AYLJB,gold,She push serve rule thus.,1,N6Y1Y,4OUJ8,2022-03-23
6ACDH,platinum,Simple as player use.,2,8FWGU,N5X40,2022-04-14
YB01V,platinum,Up add subject research sell.,1,UZBBQ,J5PAC,2022-07-05
X6N8Z,gold,,1,27ZOS,92I2Y,2022-07-06
WG11P,other,,2,K2CD7,QR19G,2022-02-27
ZP4ZE,silver,Concern reach every put.,1,M5XSS,J4F6P,2022-06-03
7X8B4,platinum,,2,EALTD,OREG1,2022-10-05
UZG8D,platinum,General college bed everybody.,2,N9B9M,ME7DC,2022-10-16
B0Z1G,other,Speak lay born.,1,CCNGL,PV7VX,2022-03-02
KKV40,platinum,Reality no work collection.,2,YPL86,WW2NM,2022-09-12
S6HXW,platinum,Agree tax form great education.,1,9TOD4,K2VIU,2022-10-17
47DMQ,platinum,Statement unit in baby.,1,DCF51,K2VIU,2022-03-07
USYCS,other,,1,5ZS2Q,BX2PI,2022-03-08
0RYNW,platinum,,2,L677M,ET59G,2022-05-15
WKB1Z,other,,1,77X9V,J4F6P,2022-06-26
E189I,platinum,,2,0EY1B,T40C2,2022-03-20
KOB7I,other,,2,E1UZR,AWXDQ,2022-06-11
SVH0Q,platinum,,2,OC8QZ,L20JI,2022-09-25
6V8JY,silver,,1,V7WX2,LC3OK,2022-03-11
YWY46,silver,Front bit style man story.,2,EERSR,K99E6,2022-05-13
0GJJA,gold,Drop store could her movement.,2,LERI7,3LLAJ,2022-09-17
N6HRK,other,,2,5HG8G,A8U7K,2022-09-19
CAHX4,silver,,2,KWPI4,HGTUB,2022-06-30
2XQ5O,platinum,Animal ready at order attention.,2,MLE0C,MJUC1,2022-09-01
E6KBK,other,Clear prepare wear movement certainly.,2,GEEHM,A5WQ0,2022-05-13
N2ZQB,platinum,Set test friend bill.,1,VK0WY,9R01Y,2022-09-23
K2DYF,other,,1,VKZMC,JCA8Q,2022-06-20
63C4G,silver,Write friend kitchen gas fly.,1,14NRE,0X722,2022-03-20
59Z4Q,platinum,,2,U78VC,V20LN,2022-02-18
XKTJ3,gold,Prevent news white.,2,ROJWJ,4UMXE,2022-09-02
4Z09F,silver,,1,3Q97W,T21O4,2022-09-17
HSJXG,platinum,Ten many fine so say.,1,GS3YH,3XOCG,2022-04-05
DI9MA,gold,Scientist white better black.,1,RCBHZ,07RB8,2022-09-04
95G49,silver,Of wind white message laugh billion.,2,OF17O,LBHMK,2022-10-05
VGAPO,other,Strategy black cultural pull above us.,1,OSVJ1,9CR7S,2022-01-08
TROA5,silver,Report necessary lawyer else behind.,2,LQA5A,L9Y33,2022-05-20
6VFET,other,,2,N8552,142WW,2022-10-22
XYJOS,platinum,Reason make knowledge during whom.,2,63J70,U29GK,2022-08-21
4WSYI,gold,,2,MW9WK,CHM29,2022-01-22
ZSG4S,gold,,1,61A62,85TQL,2022-05-02
WPLV5,platinum,,1,NUGFJ,J4F6P,2022-10-13
YY363,platinum,You out thus close. Some various watch.,1,A1793,3FLK5,2022-05-24
6T5OU,gold,,2,C8TTN,FUR3X,2022-08-12
UZO1D,gold,,2,KZZIF,XWXLZ,2022-07-01
QMULH,platinum,Land house growth fish else.,1,AOREC,9FJ8S,2022-09-15
XBOCA,other,You face ready.,1,LC7LK,0ZJZT,2022-08-21
IHMF3,platinum,Look give sense fine street make.,2,JS28E,OPGY0,2022-10-12
70E8L,platinum,,2,WK7XM,ZB7CT,2022-10-14
0Y4A1,platinum,,1,7M555,7TOUB,2022-04-04
CRBWX,silver,Film clearly decide officer sometimes.,2,BEXSP,8LJTP,2022-03-14
I7FQG,gold,,2,HWFRW,Y2ZFL,2022-01-22
JIYNU,platinum,,1,XDNR0,G7ZYX,2022-04-08
6H9G4,gold,Special might wish street space human.,1,OTH73,EDOMX,2022-06-06
24L39,silver,,1,XGZAA,1WI5Q,2022-02-10
QYF6V,platinum,,1,1UJ0K,UEAU3,2022-07-17
W40B2,gold,Speech pattern surface play.,2,BMMKP,8RY42,2022-02-12
2O1PQ,other,,1,MDMS7,L8LC6,2022-02-07
O2SX5,platinum,Lose trade different draw always now.,2,LZ3IZ,3M1YI,2022-04-25
7FMT7,gold,Last dark power energy.,2,PYIE4,0WYR7,2022-03-06
JVCVK,other,,2,8DLVE,6RCV4,2022-06-03
M05MK,other,,2,Q13NU,H7FKP,2022-10-18
V7MUL,other,,1,I04YY,R8LB9,2022-05-12
U9MAC,gold,,1,RWUY0,P35EW,2022-08-23
2OG71,silver,Hundred anything morning surface the.,2,P4FIZ,G06XS,2022-10-25
V5MKX,silver,Choice their make eight.,1,6LAY9,HYR8F,2022-10-16
Z2U3E,platinum,,2,2A0CU,Q9QW3,2022-09-21
HJZ38,platinum,World police space specific.,2,CZIJG,FXVJ8,2022-06-15
CBZNF,other,Measure value two east.,1,E6FLL,Z5WLW,2022-10-06
08NAI,other,,2,IKCQ5,M63IT,2022-07-22
88EF5,gold,,1,7AR0K,ZXBS8,2022-10-04
XTFBP,gold,Thought whatever over structure.,1,DI1HA,BJLLH,2022-03-09
6XJ3Q,gold,Require computer civil.,1,EHP5D,0QEPM,2022-10-26
ROYY6,silver,,2,6DQJD,IBCNI,2022-05-18
QFCJU,other,,1,IOTNG,4CXZQ,2022-02-08
741UY,gold,,1,MQ6D2,CGC2X,2022-02-22
IJBH1,platinum,,2,VULNG,KVJNB,2022-01-05
RQYHW,silver,,1,IRZF9,87CKX,2022-10-23
M88DV,gold,,2,C3UOQ,UOQ2K,2022-06-29
5BQVI,silver,The manager major newspaper rock mind.,1,ZG4HN,4FD3N,2022-09-01
G90EQ,gold,Well condition not who future people.,1,6ESUH,86J10,2022-08-18
I5C7O,silver,,1,DOGKE,DPGAP,2022-06-29
NLOZM,other,,2,D9SEE,SB3L6,2022-09-26
RW9MN,other,Join reduce allow eat side.,1,048AF,QCIEZ,2022-01-08
IR9AF,silver,,1,XDEYL,1MXH9,2022-09-13
UCFAS,gold,,2,9VJN4,DRBJ8,2022-03-30
RM69W,other,,2,AVNN3,CA969,2022-03-19
680HF,other,Government big increase interest.,2,QFD9M,F5WTM,2022-03-14
LSP1S,gold,,1,UMYSS,4UMXE,2022-05-08
AREUU,silver,,2,UZVYN,IH8AP,2022-10-27
P7IQD,other,,1,JV2CT,0Z2LJ,2022-04-22
OQU85,other,Trial whose thus goal.,1,9S7LO,GVYOF,2022-09-09
1XK7D,platinum,Firm instead dream surface.,2,6EZZ8,519G2,2022-03-15
4YBPF,silver,,2,GP0RV,KVJNB,2022-03-05
LI2AX,other,,2,K4R5Z,KSZOZ,2022-10-01
P5SRZ,other,,1,JYKNH,V20LN,2022-09-06
DK7WM,platinum,,1,7ZPZ2,51WHM,2022-01-06
TJL9Q,gold,,1,EEOKB,XMWLA,2022-10-25
0KP9I,platinum,Us likely machine.,1,OLHBA,C9PS9,2022-09-11
7TB3M,gold,,2,69LDO,CCMQG,2022-10-13
Y6YNY,other,,2,TQY08,UEVYS,2022-08-30
F8AFA,platinum,You eight describe pattern.,1,TREMP,9FJ8S,2022-02-10
2R0WZ,silver,Instead smile happen successful human.,2,HK6D7,9X7GU,2022-06-12
KPNCD,gold,Only world various picture rule.,2,J4142,FUS1Y,2022-03-04
P2I6S,gold,Office similar its foot tonight.,2,4M3R4,1149O,2022-09-07
WWXT6,silver,,2,ZHNQD,E189I,2022-01-24
4MZV4,silver,,1,34H2Q,KR138,2022-01-13
4SVWY,other,Must point great tonight week like.,2,Z4P7G,19J34,2022-03-26
6TPM1,platinum,,1,KHLLE,BV5DO,2022-08-17
K6I78,other,Our wind painting.,2,CT5PR,7B5PR,2022-03-20
Q1T37,gold,As his seven stock.,2,NV9W6,1XG6O,2022-04-30
MQ3EB,platinum,Ahead glass way face manage.,2,PUDUJ,7CIPO,2022-05-07
QANLL,silver,Money something move race special away.,2,4CXFK,HYR8F,2022-05-19
RABBK,silver,With team front mother.,2,T8QOI,UP16N,2022-07-22
IF79Z,silver,,1,6WUM5,TH583,2022-05-25
PZ5XW,gold,Charge or put upon rather claim also.,2,MJXFW,P4FIZ,2022-08-23
HBLA8,silver,,1,RQQTP,U4K0S,2022-03-29
NYMUL,platinum,,2,1PMBX,MRY5A,2022-03-04
J60OA,gold,,2,1MCPH,WUSF0,2022-03-29
CI6F0,silver,,2,W6HFD,W2FN3,2022-02-20
MDVIU,silver,,1,HRNR4,C0UHU,2022-04-29
4VRE3,platinum,Program after last join.,2,F2VXY,UVBIT,2022-01-13
6Q9Z2,other,Or like crime thank.,1,480VS,L8LC6,2022-04-18
0IHHL,other,,2,M4FHX,84ZNK,2022-08-21
G1QRH,silver,Movement event current cost.,1,1RC7O,6K1RV,2022-08-15
8EACA,platinum,Authority else seek town.,2,PMSO2,7VWUB,2022-04-09
0Y4BU,platinum,,2,SDD2W,HSQAJ,2022-02-21
ZODN0,gold,,2,4QCGX,PV7VX,2022-01-12
ZI9T0,other,Step test several news through way.,2,W6ST3,UP16N,2022-06-23
8D28J,platinum,Address agent life true.,1,KLT06,PBHFC,2022-10-11
KF4SR,silver,,1,4EPK7,3FKG7,2022-08-25
AD7EA,silver,,2,NUU4G,X1CL7,2022-03-29
J6IHV,gold,Office without some effort red forward.,1,YL4J5,Y10ZO,2022-09-10
UJVEF,silver,,1,XWB18,9ZP9F,2022-03-23
2V548,gold,,1,NU9ZJ,QWAWV,2022-04-25
2YZ84,other,Professor difficult player last.,2,3BGXG,5MYGN,2022-05-11
OJZ6U,platinum,Tell method together purpose either.,1,WMG3M,NBQEK,2022-08-06
JJCYH,gold,Much camera spend.,1,2D9NJ,U5R93,2022-07-12
TW4ZU,other,Child evidence local land cover.,1,WSRN1,UFNUW,2022-06-01
O6CYX,silver,Yard give film question record.,2,SK50N,K3UHS,2022-09-13
APE4H,silver,,1,6WWSZ,QN99Y,2022-03-05
P8B76,gold,Laugh such carry field movement.,2,AR8E8,JY3X4,2022-02-27
WCXLV,silver,,1,FJ37V,C78AR,2022-04-02
0AP4W,platinum,Firm best character strong manager.,2,0KRSQ,WJRLZ,2022-04-03
47KYS,other,,1,52LU9,FUR3X,2022-08-29
B3L2U,silver,Open size behind section rather check.,2,QSJZI,K5CLT,2022-05-06
J61ZP,silver,,1,AP0H1,OZBPO,2022-10-17
PNQP8,silver,Thing few similar.,1,7XKOS,08KUN,2022-06-23
PVJUP,platinum,Stage stage choice enough very right.,2,99OKS,NKNLM,2022-09-09
Q9L8H,other,,2,1ICFS,X342E,2022-10-05
LWPF8,other,Much practice talk beat support down.,1,HI5F4,3I68A,2022-09-26
SYR6M,silver,Despite director speech sure.,2,6FE1E,6A1CR,2022-10-15
UBCMM,platinum,Understand wall without about once.,1,H1BUL,L6USX,2022-07-24
3FQ6S,other,,2,DBPHV,DRNO4,2022-03-07
R92T9,other,Budget that reason run yourself until.,2,NDM2R,P0JA5,2022-07-11
4XOFF,gold,Business allow economic build.,1,OAANE,Q17SE,2022-08-29
B6VGP,gold,,2,WHBXA,BW3MU,2022-07-26
GTFZI,platinum,,2,0O042,BV5DO,2022-06-19
KLOII,platinum,,2,7ZGCQ,1VT3O,2022-04-26
TJRNF,platinum,Sport prepare none they team after.,2,BEY1S,CZOIF,2022-06-19
0LMBW,other,Animal right man their.,1,Z73MX,UEVYS,2022-01-07
RFROA,platinum,Common fish part morning.,2,7ATM4,85TQL,2022-09-13
A0IJ5,gold,Player need ok much.,2,EXQ8Z,DZC76,2022-08-28
OL3U2,platinum,Marriage model exist.,1,XKZZS,9CWE6,2022-05-21
RMGW5,silver,,1,YQACM,PRF6N,2022-09-10
SNS9Z,gold,,2,FGIRP,BQ74R,2022-04-20
HG7I3,platinum,,1,YX8X8,1HBQW,2022-01-19
8MLEQ,other,Dream four probably.,2,XUK78,IUWG8,2022-07-09
Y6DWY,other,Direction before enjoy life inside.,2,58SFY,PRBZA,2022-07-31
8JCT2,other,,2,8EHE2,R7K4O,2022-08-05
NZFG8,other,,2,S68BT,CTMHY,2022-10-21
3KCMO,platinum,,1,3SGCB,UOQ2K,2022-08-18
Y0E9N,platinum,,2,XWGLM,1H9CX,2022-09-23
FMG6I,platinum,Coach read church lose college half.,1,B56ZO,6GSGP,2022-03-09
71ZQ4,gold,,2,S7N68,ZLIUE,2022-01-16
NCM2N,platinum,Staff better final state.,2,T30XR,K99E6,2022-07-20
JP34F,silver,Officer lot draw pick project.,2,N4Z05,19J34,2022-04-18
SZVTF,gold,First above yet officer.,1,5W796,YA5CE,2022-09-23
XFOI0,platinum,Discuss finish conference also appear.,2,CIZ9R,D73LI,2022-03-18
5SJ7X,platinum,,1,MDWWJ,OREG1,2022-01-30
UUEXM,platinum,Off store firm perform.,2,WL502,G9Q2G,2022-07-14
71YZC,platinum,,2,W1URV,8AOIB,2022-04-20
SJ7M5,silver,,1,AZI9G,ZVZGY,2022-04-01
J1QNH,platinum,,1,21SSY,YDZC3,2022-07-22
81LCT,other,Teach meet themselves leader hear.,1,V4DM9,VPIG7,2022-06-06
XGG5P,gold,,2,VAB3D,7B5PR,2022-08-13
F3QQ9,other,,2,FSQ3D,OZBPO,2022-10-13
H7K5P,gold,,2,QVE5Q,FRH4L,2022-03-22
JJLEG,silver,,1,YBE2H,3XOCG,2022-01-18
3Q0CE,platinum,No decade leave interest.,2,C8LVX,K52E6,2022-01-16
2DWVQ,other,,1,YF59W,CUVCD,2022-07-08
BSPNF,platinum,,1,8MWF5,O0KP9,2022-02-02
7N2UA,silver,,1,OH7OM,IXU4J,2022-01-01
79IV8,other,Dinner participant cold machine our.,1,WP0ER,PHPNC,2022-06-02
TG2RP,silver,Ever seek plan one quickly mission.,1,B6L45,QLECR,2022-01-14
TFXJ2,gold,,2,913R9,LZAU3,2022-06-20
2DS61,other,Practice century go east trip election.,2,KRW2B,6QJGV,2022-08-14
7MKAR,gold,Physical who establish husband.,1,E6QYU,0HGJC,2022-03-18
