item_id,name,price,category,description,seller_user_id,list_date,buyer_user_id,purchase_date
9135Q,Laptop Stand,1330.42,Electronics,,S3AB0,2022-04-05,HLQ7U,2022-06-15
OZ9O3,Mobile,1938.2,Electronics,,3AFOH,2022-03-15,,
FN7WM,Ipad,734.37,Electronics,,JWXSS,2022-01-13,,
EA352,Sports Shoes,1478.15,Sports & Outdoors,Cushioning provides excellent shock absorption,1E2BT,2022-09-13,,
N2E19,Facewash,1877.19,Beauty & Personal Care,,87CKX,2022-07-05,,
MS263,Hat,700.1,Sports & Outdoors,,L8LC6,2022-02-04,,
861DH,Hot Wheels,638.36,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",UVBIT,2022-10-22,,
UOX4S,Hoodie,1084.2,"Clothing, Shoes & Jewelry",,D7CK2,2022-02-28,,
IN5NP,Chair,1892.8,Others,for everyday use,05M7F,2022-02-01,,
TAO9K,Paper Clips,1428.4,Office Products,For everyday office use,V87IG,2022-07-29,,
YDNCU,Basketball,645.3,Sports & Outdoors,,C9XKL,2022-06-01,,
DJWB5,Hat,1416.95,Sports & Outdoors,,8EBHM,2022-07-23,,
JWTLV,Handwash,70.96,Beauty & Personal Care,,4Z5VC,2022-07-22,,
6JFVP,Mats,722.72,Home & Kitchen,,PVB4C,2022-03-25,,
3JCQV,Oil Paints,1230.98,"Arts, Crafts & Sewing",,6LV2R,2022-08-18,,
ZVR5Z,Mobile,198.15,Electronics,,S3AB0,2022-08-14,5C0M1,2022-09-26
W5DBR,Paint Brushes,1957.12,"Arts, Crafts & Sewing",,G558B,2022-07-11,,
P8WKJ,Rings,91.28,"Clothing, Shoes & Jewelry",Machine Wash,KGD5Z,2022-09-07,,
Z1KAJ,Plants,1688.41,Others,,AWFGJ,2022-05-19,,
EKH68,Hat,1160.84,Sports & Outdoors,100% Synthetic,1JA6J,2022-05-06,,
1JA6J,Sports Shoes,1252.41,Sports & Outdoors,,KR138,2022-02-14,,
W5BPP,Nail Paint,1209.36,Others,,Q0UI3,2022-08-16,,
E1ZRQ,Jeans,552.48,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,FWVAJ,2022-05-11,MEID7,2022-06-27
YC3WI,Hat,1076.17,Sports & Outdoors,,RVZRR,2022-01-07,,
H84CU,Bowls,800.6,Home & Kitchen,,CA969,2022-04-16,,
II4C7,Pet Bed,652.13,Pet Supplies,For your lovely pet,RSBL9,2022-10-01,,
MQUQQ,Teddy Bear,351.56,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",078O0,2022-05-25,,
Q6S50,Can Opener,158.9,Home & Kitchen,One of a kind stainless steel,PV7VX,2022-03-06,,
3P37K,Bowls,471.69,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,RLY94,2022-05-10,,
W2VY6,Curtains,1349.7,"Arts, Crafts & Sewing",Set of 12,8X3PV,2022-01-25,OW0EP,2022-03-22
0DTYD,Mats,563.28,Home & Kitchen,,0YU61,2022-09-28,,
30LB3,Marker,1255.16,Office Products,,U98HN,2022-01-18,,
AU395,Can Opener,1911.31,Home & Kitchen,,CCMQG,2022-09-04,,
J7SCA,Bowls,808.29,Home & Kitchen,,87CKX,2022-08-22,,
4ZCOP,Kite,10.16,Toys & Games,,L20JI,2022-01-29,,
KAYLJ,Pet Bed,1999.97,Pet Supplies,,0YU61,2022-02-18,,
VPIX6,Handwash,1999.84,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",ME7DC,2022-03-15,,
P4ZEQ,Handwash,930.31,Beauty & Personal Care,Suitable for all skin types,R5OOD,2022-08-12,,
DJZB0,Jeans,1228.19,"Clothing, Shoes & Jewelry",,Z49UX,2022-06-01,,
S6HXW,Hot Wheels,801.6,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",NUPCW,2022-05-24,,
CS91C,Jacket,90.7,"Clothing, Shoes & Jewelry",,8MZDC,2022-01-15,,
E189I,Bath Soap,301.28,Beauty & Personal Care,,4Z5VC,2022-01-09,,
0QKV6,Sticky Notes,1114.68,Office Products,For everyday office use,O83AN,2022-03-13,,
0GJJA,Necklace,916.35,"Clothing, Shoes & Jewelry",Imported,KV5S9,2022-02-18,,
4UG2X,Basketball,890.77,Sports & Outdoors,Cushioning provides excellent shock absorption,NKNLM,2022-03-23,F95B8,2022-04-15
70N2Z,Acrylic Paints,1860.63,"Arts, Crafts & Sewing",,P8DKB,2022-09-21,,
63C4G,Lamp,1143.9,Others,for everyday use,QTM9A,2022-07-31,,
J3EE4,Badminton Racket,1787.9,Sports & Outdoors,Cushioning provides excellent shock absorption,MABWW,2022-08-30,,
DI9MA,Hoodie,608.3,"Clothing, Shoes & Jewelry",Imported,F1I7H,2022-04-11,,
O5TRO,Facewash,858.35,Beauty & Personal Care,,MRY5A,2022-03-27,,
YJOSM,Facewash,1852.16,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",XWXLZ,2022-09-09,,
W1RWZ,Facewash,454.38,Beauty & Personal Care,Suitable for all skin types,D7CK2,2022-05-17,,
YY363,Kite,344.48,Toys & Games,make a great gift for kids 3 to 7 years olds,1VPD1,2022-03-12,,
1DC0F,Curtains,1828.97,"Arts, Crafts & Sewing",,P0JA5,2022-07-15,,
MF3MA,Can Opener,982.93,Home & Kitchen,,ZXBS8,2022-01-16,F28UM,2022-02-24
RBWXV,Pet Bed,884.27,Pet Supplies,For your lovely pet,BSJMW,2022-09-29,,
NUM06,Toothpaste,1691.27,Beauty & Personal Care,Suitable for all skin types,0YDV7,2022-03-19,,
F6VO3,Pen,1574.22,Office Products,,1XG6O,2022-05-20,,
JO2SX,Pans,175.53,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Q0UI3,2022-07-02,,
CVK3Y,Boots,1464.51,"Clothing, Shoes & Jewelry",,MK3V5,2022-03-07,,
1J5N2,Watercolor Pens,84.77,"Arts, Crafts & Sewing",,P8DKB,2022-09-19,,
G71SV,Salad Spinner,1148.93,Home & Kitchen,One of a kind stainless steel,6ZG2P,2022-10-26,,
HJZ38,Sticky Notes,1073.99,Office Products,For everyday office use,N169E,2022-09-20,,
I75TY,Facewash,520.57,Beauty & Personal Care,,G9Q2G,2022-03-04,,
PB6XJ,Jeans,294.19,"Clothing, Shoes & Jewelry",,BL4U8,2022-07-25,,
FCJU5,Pet Grooming,1624.65,Pet Supplies,For your lovely pet,7CIPO,2022-02-15,,
H1PCR,Mats,1549.53,Home & Kitchen,,SAZF9,2022-06-21,,
BQVIW,Canvas,672.55,"Arts, Crafts & Sewing",Set of 12,UP16N,2022-03-09,,
OWG9N,Sports Shoes,499.18,Sports & Outdoors,100% Synthetic,OZBPO,2022-07-03,,
UIR9A,Laptop Stand,646.93,Electronics,Reams of high-bandwidth DDR4 RAM,T40C2,2022-06-09,VM6YE,2022-09-15
M69W2,Bowls,1475.71,Home & Kitchen,,0V5C9,2022-05-01,,
SCBAR,Notebook,1783.5,Others,for everyday use,Z5WLW,2022-05-19,PRQGM,2022-10-28
Y0ROQ,Sauce Pots,280.84,Home & Kitchen,One of a kind stainless steel,EGA3T,2022-09-13,,
YBPFT,Pet Bed,85.64,Pet Supplies,For your lovely pet,GPYLB,2022-03-01,QN8ZE,2022-03-05
14DK7,Speaker,770.14,Electronics,,KYTZ7,2022-06-27,,
KP9IK,Hot Wheels,1126.16,Toys & Games,make a great gift for kids 3 to 7 years olds,TYD9O,2022-01-31,,
Y875G,Pencil,67.25,Office Products,For everyday office use,JUDOH,2022-10-15,,
WZQEK,Pans,1616.3,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,RSBL9,2022-07-31,,
I6SAJ,Oil Paints,1512.92,"Arts, Crafts & Sewing",Set of 12,YRL14,2022-02-22,,
T2I4S,Hot Wheels,1041.41,Toys & Games,,C1NTG,2022-10-23,0ZK3C,2022-10-27
6K6I7,Easel,1199.19,"Arts, Crafts & Sewing",Set of 10,3KCY4,2022-08-25,,
QANLL,Jeans,88.3,"Clothing, Shoes & Jewelry",Machine Wash,P0JA5,2022-09-19,,
WF1HB,Knives,1738.97,Home & Kitchen,,W7QGR,2022-08-18,,
60OAD,Pet Grooming,800.2,Pet Supplies,For your lovely pet,DBPO3,2022-08-30,,
MDVIU,Paint Brushes,486.82,"Arts, Crafts & Sewing",,GKTCF,2022-10-05,,
20K0I,Bath Soap,1450.32,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",0HC1E,2022-05-31,,
68EAC,Hat,841.99,Sports & Outdoors,100% Synthetic,7CIPO,2022-06-10,,
ODN0B,Pet Bed,487.5,Pet Supplies,For your lovely pet,4OUJ8,2022-02-01,,
INKF4,Water and Food Bowls,1806.85,Pet Supplies,,PB6Z6,2022-08-19,,
6IHVA,Acrylic Paints,1401.21,"Arts, Crafts & Sewing",Set of 12,0V5C9,2022-09-29,,
7FFU2,Laptop,1322.76,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",19J34,2022-03-04,,
JJCYH,Necklace,1801.28,"Clothing, Shoes & Jewelry",Machine Wash,FUR3X,2022-03-28,,
6CYXV,Water and Food Bowls,754.1,Pet Supplies,,1QXIF,2022-06-24,IDZE3,2022-10-12
WCXLV,Lamp,1437.36,Others,,Y26NY,2022-06-10,,
KC47K,Mats,1122.47,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,4Z5VC,2022-06-06,,
U1J61,Salad Spinner,1684.63,Home & Kitchen,,08WHX,2022-08-09,,
UPJQ9,Jacket,1835.13,"Clothing, Shoes & Jewelry",Machine Wash,6A1CR,2022-10-27,,
F85NS,Paper Clips,869.5,Office Products,,7ERSM,2022-10-03,,
2T904,Pans,1963.4,Home & Kitchen,,YRL14,2022-01-25,,
GPBCG,Easel,17,"Arts, Crafts & Sewing",,HH8AJ,2022-09-30,,
IIOQ5,Nail Paint,1625.63,Others,,3K1ND,2022-06-23,,
IRFRO,Leash And Collar,554.99,Pet Supplies,For your lovely pet,449OC,2022-07-09,,
OL3U2,Leash And Collar,585.88,Pet Supplies,For your lovely pet,1E2BT,2022-08-23,,
NS9ZE,Toothpaste,1580.2,Beauty & Personal Care,,G2W79,2022-01-01,,
8MLEQ,Acrylic Paints,1861.72,"Arts, Crafts & Sewing",Set of 10,7H518,2022-07-12,,
T270N,Pet Bed,1479.36,Pet Supplies,,GVYOF,2022-05-02,,
GY0E9,Serum,967.67,Beauty & Personal Care,Suitable for all skin types,CAFPE,2022-01-20,,
1ZQ4B,Paint Brushes,1001.32,"Arts, Crafts & Sewing",,5JJX3,2022-03-15,,
34FRS,Jacket,1003.6,"Clothing, Shoes & Jewelry",,G7ZYX,2022-09-03,,
I0PB5,Serum,1189.46,Beauty & Personal Care,,449OC,2022-10-09,,
MMS71,Handwash,549.9,Beauty & Personal Care,,F1I7H,2022-01-06,,
1QNHK,Paint Brushes,1354.4,"Arts, Crafts & Sewing",,W2FN3,2022-09-21,,
GG5P7,Bowls,1461.67,Home & Kitchen,,QXXKB,2022-05-03,,
KPH7K,Pen,1190.12,Office Products,For everyday office use,GQM6L,2022-03-24,,
RGR3Q,Notebook,1058.54,Others,for everyday use,426K8,2022-10-06,,
SPNFJ,Sauce Pots,486.78,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,EJ8AM,2022-01-01,,
8YMTG,Badminton Racket,1083.71,Sports & Outdoors,100% Synthetic,DW4SG,2022-07-25,,
2DS61,Badminton Racket,1567.14,Sports & Outdoors,100% Synthetic,OZBPO,2022-02-07,8DO01,2022-03-25
4Q6ZI,Sauce Pots,1512.1,Home & Kitchen,,FCQGQ,2022-08-25,,
UMV0I,Laptop Stand,1833.96,Electronics,,SW1FA,2022-03-19,,
F92IG,Hot Wheels,986.31,Toys & Games,make a great gift for kids 3 to 7 years olds,T21O4,2022-04-19,H6C82,2022-10-26
SKTR7,Jacket,1825.66,"Clothing, Shoes & Jewelry",Imported,7VWUB,2022-03-12,,
3Q8K2,Pans,205.96,Home & Kitchen,,BK9EY,2022-07-04,,
DPHK2,Basketball,347.11,Sports & Outdoors,,Z0LJU,2022-09-01,,
YNQYO,Pencil,675.38,Office Products,For everyday office use,BF3QQ,2022-01-09,785CE,2022-07-03
U43QW,Pet Grooming,346.1,Pet Supplies,For your lovely pet,GV6M6,2022-02-14,,
BG37L,Laptop,1679.76,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",449OC,2022-02-21,,
NE5IF,Pans,1687.23,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,0HC1E,2022-07-22,,
SECFW,Laptop Stand,1329.6,Electronics,【11th Gen Intel Core i5-1135G7】,G9Q2G,2022-09-08,,
5JZ1Z,Badminton Racket,1973.35,Sports & Outdoors,,BKW17,2022-02-14,96A1O,2022-06-02
VOYBV,Airpods,1370.5,Electronics,,JI8HS,2022-01-08,,
11LSZ,Kite,504.86,Toys & Games,,S3AB0,2022-01-16,,
CRV3E,Serum,1476.53,Beauty & Personal Care,Suitable for all skin types,LZLDV,2022-09-22,,
FXAST,Hat,460.73,Sports & Outdoors,,EBQH2,2022-08-05,,
GEEHM,Pencil,1765.99,Office Products,For everyday office use,LZLDV,2022-05-23,,
6IF6C,Oil Paints,386.87,"Arts, Crafts & Sewing",,DNCLE,2022-01-17,,
PFJZX,Acrylic Paints,302.15,"Arts, Crafts & Sewing",Set of 10,Y1GW1,2022-09-30,96A1O,2022-10-24
LH54I,Kite,1674.8,Toys & Games,make a great gift for kids 3 to 7 years olds,HVJUT,2022-10-04,,
QUMHP,Airpods,474.37,Electronics,【11th Gen Intel Core i5-1135G7】,3KLP3,2022-06-28,,
08RKQ,Canvas,1047.31,"Arts, Crafts & Sewing",Set of 10,6GSGP,2022-06-19,,
X7HK5,Pet Bed,687.78,Pet Supplies,For your lovely pet,X342E,2022-07-28,,
ZO9MC,Bowls,37.43,Home & Kitchen,,0YU61,2022-03-22,,
OYAM5,Charger,104.84,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Q24R1,2022-08-17,,
LGJQL,Marker,324,Office Products,,O83AN,2022-01-04,,
SY6B5,Sticky Notes,1973.29,Office Products,,R7K4O,2022-02-28,,
Y8W94,Pans,1169.72,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,ZST93,2022-05-10,,
GK3I5,Chair,1723.91,Others,for everyday use,NBQEK,2022-05-23,,
X6QZ8,Hat,629.42,Sports & Outdoors,,BV5DO,2022-02-06,,
DI3IQ,Airpods,193.1,Electronics,,5NRYI,2022-08-29,,
TXLA4,Mats,1284.4,Home & Kitchen,,U5R93,2022-01-17,,
1MREI,Pen,1325.76,Office Products,,RLY94,2022-03-05,,
G82UL,Jacket,1075.84,"Clothing, Shoes & Jewelry",Imported,P9Q6Y,2022-08-15,,
TLK9K,Bath Soap,1680.93,Beauty & Personal Care,Suitable for all skin types,DPGAP,2022-05-21,T9ZSG,2022-09-04
JJDHJ,Serum,1758.98,Beauty & Personal Care,Suitable for all skin types,K3VTH,2022-02-20,B3OWC,2022-04-05
RVLZQ,Notebook,1595.72,Others,for everyday use,ZB7CT,2022-07-05,,
IWL5O,Paper Clips,1606.14,Office Products,,449OC,2022-04-04,,
U5V46,Mobile,689.57,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",D73LI,2022-04-30,,
HD377,Hat,1985.72,Sports & Outdoors,Cushioning provides excellent shock absorption,Q17SE,2022-07-23,,
4IAF9,Kindle,250.64,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Y26NY,2022-01-28,,
XY7X0,Badminton Racket,32.36,Sports & Outdoors,,Z49UX,2022-06-06,,
URS2V,Marker,707.39,Office Products,,DAWJW,2022-04-27,,
AN3TZ,Sticky Notes,1545.26,Office Products,For everyday office use,QLECR,2022-02-12,,
R66KL,Hot Wheels,1150.67,Toys & Games,,P283H,2022-08-06,,
GIJNW,Facewash,19.16,Beauty & Personal Care,,N169E,2022-07-04,,
0GMIL,Notebook,1168.88,Others,,6RCV4,2022-05-14,,
PV1HV,Canvas,209.96,"Arts, Crafts & Sewing",,0X722,2022-07-06,,
KJ9V3,Charger,580.12,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",IUWG8,2022-09-29,,
J52AU,Knives,446.79,Home & Kitchen,,WW2NM,2022-06-15,5FUOS,2022-08-12
VI9XK,Bath Soap,800.21,Beauty & Personal Care,,PVB4C,2022-05-11,CX5HZ,2022-09-21
7CT21,Knives,1172.8,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,SEOMV,2022-03-02,,
RMHWY,Ipad,1414.95,Electronics,,SGSRE,2022-09-01,,
P8ENU,Pet Bed,1872.33,Pet Supplies,For your lovely pet,O0KP9,2022-05-26,,
BDMK5,Teddy Bear,1664.24,Toys & Games,make a great gift for kids 3 to 7 years olds,08KUN,2022-02-03,,
8OTA0,Teddy Bear,492.65,Toys & Games,,JCA8Q,2022-02-02,,
ZA1O1,Handwash,1071.46,Beauty & Personal Care,,TT1MJ,2022-10-19,HJYAF,2022-10-19
YLO9G,Canvas,683.54,"Arts, Crafts & Sewing",Set of 10,X342E,2022-05-30,,
6WPC0,Leash And Collar,397.31,Pet Supplies,For your lovely pet,7ERSM,2022-02-08,,
HSUVT,Mobile,476.33,Electronics,,WX9FX,2022-08-05,,
2XC7O,Bath Soap,941.99,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",FUR3X,2022-04-23,,
7L80Q,Paint Brushes,678.47,"Arts, Crafts & Sewing",Set of 12,WUSF0,2022-07-09,,
GR5XS,Sticky Notes,1180.9,Office Products,For everyday office use,FQUO1,2022-10-05,,
QKWZB,Charger,387.71,Electronics,【11th Gen Intel Core i5-1135G7】,A34BI,2022-03-26,,
WLJHS,Acrylic Paints,76.24,"Arts, Crafts & Sewing",,MQBSG,2022-02-02,,
GI3W6,Handwash,318.92,Beauty & Personal Care,,LJNGC,2022-03-27,HPTBM,2022-05-30
E3LEH,Laptop Stand,161.29,Electronics,,NJN0G,2022-06-17,,
OPKGH,Paint Brushes,1192.5,"Arts, Crafts & Sewing",,A8U7K,2022-05-20,,
6UPG9,Plants,1075.58,Others,for everyday use,0BMS5,2022-01-25,,
Q6VOV,Hat,141.6,Sports & Outdoors,100% Synthetic,P9Q6Y,2022-01-11,,
VQ2BV,Teddy Bear,586.83,Toys & Games,make a great gift for kids 3 to 7 years olds,RLY94,2022-06-25,,
B8HUB,Pet Bed,1984.48,Pet Supplies,,KV5S9,2022-09-20,,
SBE3R,Rings,1642.57,"Clothing, Shoes & Jewelry",,20AR2,2022-02-16,,
OO5QT,Sauce Pots,1055.38,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,P0JA5,2022-06-04,,
GC9F1,Notebook,1501.4,Others,for everyday use,3DEPB,2022-03-22,,
7D3PZ,Canvas,242.47,"Arts, Crafts & Sewing",Set of 10,BJLLH,2022-01-17,F95B8,2022-09-16
TUE1V,Notebook,361.81,Others,for everyday use,LZAU3,2022-02-26,,
BBT3H,Notebook,1541.82,Others,,WH1ZH,2022-03-18,V5CHD,2022-08-11
ASGVF,Hat,1333.8,Sports & Outdoors,,TJX73,2022-05-21,,
L9DQX,Barbie,286.52,Toys & Games,,3XOCG,2022-02-28,,
UEWB2,Marker,135.3,Office Products,,CXDQI,2022-08-20,,
DY2YC,Bowls,975.68,Home & Kitchen,,LV4UC,2022-02-27,,
GIDAQ,Teddy Bear,1781.68,Toys & Games,make a great gift for kids 3 to 7 years olds,51WHM,2022-06-07,,
7P27B,Mobile,1179.86,Electronics,,L20JI,2022-09-22,,
P5851,Paint Brushes,1609.37,"Arts, Crafts & Sewing",,S3AB0,2022-07-22,,
IVKBC,Mobile,729.97,Electronics,【11th Gen Intel Core i5-1135G7】,Z5WLW,2022-09-21,,
PAXXV,Pet Grooming,153.27,Pet Supplies,For your lovely pet,670AO,2022-07-13,,
LI6HU,Pet Bed,1939.69,Pet Supplies,For your lovely pet,87CKX,2022-09-04,,
LV2FX,Kite,1336.55,Toys & Games,,G60H0,2022-03-20,,
PAXIB,Boots,1994.82,"Clothing, Shoes & Jewelry",,FUR3X,2022-08-25,,
OZ551,Spoons,653.43,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,TGD2Z,2022-01-04,,
B3U4W,Bath Soap,386.73,Beauty & Personal Care,,NJN0G,2022-10-02,,
OAOYI,Basketball,639.63,Sports & Outdoors,Cushioning provides excellent shock absorption,T21O4,2022-05-04,,
4IBZ1,Barbie,192.32,Toys & Games,,BSJMW,2022-01-14,8NP1J,2022-03-12
3C0M7,Water and Food Bowls,851.68,Pet Supplies,For your lovely pet,51WHM,2022-04-10,,
KDGIQ,Kite,1342.38,Toys & Games,,P8UM4,2022-03-02,,
QG99D,Handwash,63.43,Beauty & Personal Care,,G6G4D,2022-08-15,,
Q8WJC,Chair,1805.57,Others,,6RCV4,2022-10-06,,
NU9ZJ,Laptop,434.87,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",152MD,2022-07-02,,
FGIRP,Hoodie,1986.71,"Clothing, Shoes & Jewelry",,CHM29,2022-02-02,,
XVQ6O,Mats,489.16,Home & Kitchen,One of a kind stainless steel,IJ61L,2022-01-16,,
SGPTE,Badminton Racket,896.85,Sports & Outdoors,,CJZRT,2022-03-29,29JBC,2022-04-13
9P1PN,Tshirt,1909.29,"Clothing, Shoes & Jewelry",,Z49UX,2022-04-27,,
NZW1Q,Boots,802.34,"Clothing, Shoes & Jewelry",,VWQZC,2022-10-22,,
NZOSU,Jeans,1405.31,"Clothing, Shoes & Jewelry",,QMHWG,2022-05-09,,
VB9YG,Lamp,1789.79,Others,,7QINW,2022-02-27,,
A7G8C,Mats,1397.59,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,9CK79,2022-06-28,X4E1M,2022-10-04
QZND7,Barbie,15.9,Toys & Games,make a great gift for kids 3 to 7 years olds,ZLIUE,2022-05-29,,
QM9C9,Serum,1238.77,Beauty & Personal Care,,ME7DC,2022-07-15,,
0V8OE,Pans,1817.98,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,L18JT,2022-08-11,,
NGTTM,Jeans,549.33,"Clothing, Shoes & Jewelry",,0WYR7,2022-09-21,,
42GKH,Water and Food Bowls,1333.67,Pet Supplies,,LZAU3,2022-10-22,,
4AFCJ,Can Opener,195.11,Home & Kitchen,,BL4U8,2022-01-30,,
MPIAB,Oil Paints,791.43,"Arts, Crafts & Sewing",,0ZJZT,2022-06-15,,
FUB36,Plants,1073.37,Others,,UOQ2K,2022-03-22,,
N9ZUR,Pencil,1555.7,Office Products,For everyday office use,LAAAV,2022-07-27,,
LC7LK,Handwash,1815.39,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",0HGJC,2022-06-12,,
Q3SR7,Hat,946.61,Sports & Outdoors,100% Synthetic,FRH4L,2022-05-31,,
8QWWQ,Acrylic Paints,1070.95,"Arts, Crafts & Sewing",Set of 12,YA5CE,2022-08-16,,
JYL09,Bath Soap,1510.42,Beauty & Personal Care,,T4T3I,2022-01-08,,
CO260,Curtains,1908.73,"Arts, Crafts & Sewing",Set of 10,Y10ZO,2022-01-01,,
YICMT,Canvas,1368.24,"Arts, Crafts & Sewing",,KVQRA,2022-03-12,,
JFUNC,Teddy Bear,1014.68,Toys & Games,make a great gift for kids 3 to 7 years olds,CHM29,2022-07-16,,
