seller_user_id,item_id,price
QMHWG,UGQFT,1200.67
1QXIF,H0LBB,965.48
HQF90,7CK2Z,621.46
FWVAJ,KANQZ,1414.29
8RY42,VZBXJ,1873.83
4PJSD,S7KQ3,1858.94
4MSI6,MXE8U,1018.71
WSHUH,5QRTB,793.31
0HC1E,7LZX0,1601.41
N8P04,ATJC9,857.94
1E2BT,4SGT8,1012.37
J5PAC,C95M1,1486.13
MK3V5,5DN5Q,34.17
IBCNI,3XGCO,1920.80
NKKLD,5C8TU,1767.19
8EBHM,G8KW4,822.26
RBL4D,SN2MJ,1453.91
BBHBZ,UGF82,1647.84
J4F6P,AOREC,1510.79
IJI6N,843F4,85.16
KVQRA,CHKNO,1163.89
7VWUB,7Z4PJ,1445.54
PQEAZ,SMK34,1765.61
C1NTG,O061O,151.20
HGTUB,BBFPG,475.81
F5WTM,YTBJN,866.61
W7QGR,085HX,1893.96
G9Q2G,U4IAW,387.80
XYUHX,ELZBH,1213.40
3DEPB,M5CMB,506.72
N169E,9IWTH,1881.95
Y1GW1,TMQ3L,710.29
T4T3I,7N8JR,1550.70
YDZC3,RORDN,1502.35
BW3MU,76KQY,400.91
DDZV9,H9THU,332.65
FXVJ8,AN7RV,1651.70
87U6Q,F1VT3,1531.96
PINBW,9J8OG,1369.17
HH8AJ,GY5X2,796.93
P35EW,EFB6O,1147.82
1VT3O,4KF59,968.35
D73LI,ECDFV,298.24
E189I,IZ0VC,608.25
U4K0S,DW7QG,87.60
EJ8AM,K27EV,1571.37
U4K0S,OYO9S,977.81
XV9E8,IJUC8,1417.98
X9W2Z,MPX9T,1713.59
86J10,HZHVP,964.39
A7G8C,WG5RB,21.24
EJ2DW,UE03R,1477.75
Y1GW1,TEFZG,1192.51
078O0,M7R3X,59.00
670AO,7ZPZ2,345.97
AADER,B37SY,891.79
Q0UI3,OMXC8,825.12
670AO,UK78H,310.40
4CXZQ,H6RIS,1154.33
WPI4A,CFU2F,1482.73
XU609,PV3U0,1234.27
NQP88,L0MPT,157.63
K2VIU,0TX2A,747.87
7B5PR,T2KOI,704.75
61A69,VWAPL,630.61
GOW8W,FX406,427.20
WX9FX,N9JTY,1664.21
3AFOH,97FVH,365.19
O83AN,WSGR0,1374.31
QMNGC,WWTSK,585.17
GLVQG,62XYD,639.20
H2NH0,VE2CV,688.51
TJX73,DH7PU,545.65
BF3QQ,TLFZ2,1148.53
84ZNK,IISIG,1835.87
MJUC1,I94M9,1067.96
G06XS,31ZNL,262.11
86J10,H8RHL,1899.46
QWEC7,NFWVA,1589.25
M2HT6,EV5F7,1420.59
XAY57,ZMV2L,192.56
F5WTM,ELFRU,1332.90
CVK2U,A1XY8,594.98
7IVK8,YMEV1,1925.72
92I2Y,NG72O,395.50
DI0C5,U0CDO,768.12
CZOIF,CT7ZR,462.17
6ZG2P,0CSWD,1395.38
XU609,WH2WV,1301.60
DZC76,MAS6Q,1499.15
OFOQB,CB4CM,1917.92
PRBZA,2N583,1742.28
CVK2U,Y3C35,753.72
3QPJE,F6XCD,1801.48
0OWRH,RFSC5,799.47
IJ61L,LIZRS,1911.43
4I4WY,TUA2R,506.00
OZBPO,6WXZD,1775.13
MRY5A,HBMTH,1023.72
0HC1E,QWERT,1396.72
HC0DY,1PZ5H,1710.72
WJRLZ,DND5A,1731.39
DZC76,5MD2U,814.19
CTMHY,69LDO,606.31
4Z5VC,EERSR,1935.00
DDZV9,3XDUX,544.62
G9Q2G,UM9XB,790.61
X9W2Z,C9A1B,1670.95
OE791,Z7QYG,1102.78
UHYY9,LQK5J,500.66
TH583,3NVQH,66.65
ET59G,QNWWM,1073.57
4MSI6,AB0N5,1745.11
36SYH,6676O,12.47
AWFGJ,E4KM4,1432.64
8EBHM,YOZ3C,354.39
3XOCG,RZ35U,1310.34
FXVJ8,R6FOJ,530.73
67EYU,78R60,53.77
LV4UC,MXDR0,15.83
X9W2Z,XZIUF,1168.34
0ZJZT,QFMWN,957.84
9CR7S,KS0TW,1372.30
NBQEK,XDNR0,682.21
KVJNB,XYJGV,1920.50
QMHWG,QB2K8,1838.20
20AR2,DNWUU,348.10
SZXQH,6GQ39,181.88
BK9EY,BLQD6,1510.92
YDZC3,XXUZ4,1744.27
QMNGC,BVCKC,1310.91
6NS86,GI1FG,918.76
EXO6D,39ATP,393.10
V87IG,I9B3W,1136.12
J83G9,86YME,1156.13
T21O4,3OO4B,1954.53
GLVQG,WQJJF,461.48
FXVJ8,WY7DF,1847.61
GJK7R,28LUI,1788.38
6WQ8P,P1S5D,1166.47
HYR8F,7332U,498.92
MK3V5,W8549,1043.12
7E9AJ,M4XRC,435.95
SHGFE,MP7WL,491.10
Q24R1,GUMWR,1787.34
MQBSG,P3DEP,511.27
6IPKS,BUZU0,286.58
G60H0,SI1LW,514.57
3FLK5,ZNU5M,1188.38
VWQZC,7XYZA,843.13
E9K7C,ITYI2,570.18
QWAWV,9HWOZ,1524.44
NL2WY,G7W7R,1508.21
ZB7CT,BMDTN,1460.39
2SZAM,X3UAF,1826.78
VZNU6,XSDKM,1462.61
HQSNA,I356R,240.20
4CXZQ,VQO3R,1994.19
ET59G,6PJCC,448.54
6WQ8P,3QEXH,456.65
YRTVH,9LNG0,844.10
QX1AY,NC2EE,829.16
3XOCG,FPMGH,6.81
M2HT6,WVX20,1401.71
BBHBZ,CL4NX,641.21
YDZC3,YIS7U,798.57
G7ZYX,6ZAVC,517.42
FFZPQ,4QIWB,1836.32
U29GK,DZSJA,1754.22
GOW8W,P9ALB,1584.63
JCA8Q,KVP18,1749.50
DDZV9,ESWR5,1829.18
L3VKI,KIE8I,319.94
EBQH2,GDA7I,520.44
5XI94,TLV92,501.29
K99E6,I2PXD,955.39
Y4HF3,6FJTO,869.59
IJ61L,ZQ77O,1932.87
VKCWC,SZXPO,750.93
KSZOZ,PFFBX,1877.53
Q9QW3,Q4VDG,840.21
92I2Y,3RX0I,1671.75
IUWG8,NPT7B,10.45
ZVZGY,PYFBF,664.98
46YCO,HO263,1981.80
CZ859,6NEML,663.17
UFNUW,C1GPR,472.60
M63IT,EDZ7U,822.38
VJL5E,IGUH3,1751.39
7B5PR,LO1AK,179.86
OPGY0,07QOR,886.00
W7QGR,29MAH,1387.20
VRWGT,TJGLM,1523.99
6P3VN,0RUP2,1765.34
PINBW,V87LA,869.80
SZXQH,4XTAT,871.92
ARQJD,Q2SBB,632.20
CZ859,K8BLY,1108.11
NKNLM,BR0XK,1894.46
P8DKB,7WOVJ,53.10
LHRYU,6JISQ,1368.10
RVZRR,200I1,869.97
RJWPA,5OB3J,348.20
WJRLZ,549MU,1568.48
RLY94,2QEOS,181.46
WSHUH,1HLUE,1770.77
3KCY4,AOOEO,1526.82
CAFPE,BOMRW,459.63
WPI4A,OLRYX,749.33
Z5WLW,WZRRL,735.93
6RCV4,ERILV,828.32
JCA8Q,PH2TJ,1425.21
YDQ24,HPXO7,1302.29
QWAWV,6162C,1249.19
MQBSG,01BO0,753.20
NCDRU,FA9EY,271.17
4OUJ8,INJ0O,1239.72
NQP88,G8SYB,206.60
2LOF1,D9FIH,1915.95
1JA6J,G8SHL,750.10
OTAU7,MJXFW,1439.49
JEEP3,9O6S2,245.36
JI8HS,ZGBFJ,1676.50
M2HT6,921SB,1603.55
BV5DO,EG1FE,144.10
V5MBV,AQRKJ,637.84
9X7GU,TOY1X,1618.80
7WHJR,RWYF7,147.47
XU609,NCAWF,144.39
PHPNC,CYM17,1638.58
YAK94,4MREU,1498.57
K3VTH,UCP4V,887.00
6NS86,PJE35,1555.48
BF3QQ,AI2LO,1378.43
SNR6X,WLABD,1218.82
4CXZQ,NCCB8,1442.72
22VQ9,1L4VF,942.66
C9XKL,W8CWL,243.42
GVYOF,JGRUB,1188.85
LJNGC,VNAXV,1542.56
1HBQW,EZF9Y,112.30
SNR6X,FKNOZ,430.22
P283H,1R9PB,1764.75
LHRYU,B2V0D,920.24
3O35F,H6Q9V,1803.79
O8YYV,V7FEA,1278.87
Y10ZO,Y62J9,152.10
69SJG,KRXYV,338.51
87BU7,9SZGJ,1048.29
YRTVH,C8AZJ,41.32
Y4RHZ,H2LM0,961.52
4GR4S,D2THW,1927.72
JWXSS,MKF6J,1630.64
2LOF1,YUITH,489.46
X9W2Z,1XQUT,372.18
Z0LJU,VULNG,1962.39
AWFGJ,KPTWD,1516.20
YA5CE,GGF1D,160.16
77E29,Q4H50,1347.10
0HGJC,E3F66,881.47
G60H0,QP1OR,806.24
8LJTP,0425T,398.84
M2HT6,3D0Q7,1226.61
7W8YE,8ZUNL,642.29
UFNUW,W6XKK,902.64
8LJTP,DBXBK,2.15
JWXSS,3F9TL,1890.55
LZLDV,US926,907.30
ZTLSE,W8GRD,1063.49
PRF6N,O138G,1269.65
P8DKB,FANK8,1396.54
XU609,LCB44,224.47
NJYKN,OLHBA,601.13
6F0TV,UBEMK,1228.26
549RZ,FM2Q6,1807.45
BL4U8,YZZDL,1701.49
5XI94,YX8X8,1258.91
QMNGC,SY32T,1636.71
19J34,DZ31Q,395.56
5P7C4,QIL4P,1225.77
231ZN,D26MW,1634.68
TIQ1A,U23VS,1249.45
7W8YE,8XBYU,539.43
QWAWV,QEWZZ,1557.47
8LJTP,F44FY,574.63
BF3QQ,HOXC3,1555.49
RLY94,A54F6,401.75
51WHM,3ZYZ5,975.97
6FWZI,6WDOD,165.17
U4K0S,GJOBZ,666.71
77KUY,UIH1U,1539.86
4CXZQ,3NXPF,1641.43
LJNGC,BLMXI,1150.65
NJYKN,0WS2G,1077.29
GKTCF,SDE5A,168.52
NQP88,0G2LN,1549.79
5H4D3,D5BY1,175.29
P8UM4,Y7FI8,1786.91
7T5MJ,RWEGC,1430.59
K3MXR,H0LQB,1856.26
HQF90,EA6IA,1744.79
IJ61L,PMSQF,1386.14
3DEPB,MS685,1474.48
7W8YE,QEKVT,302.50
QXXKB,7OWAR,1276.40
QMHWG,MJJGA,1149.79
0C7T4,ZVZAW,719.24
JCCF8,VM62D,880.79
ISPDE,SS80T,749.47
UOQ2K,3N2TZ,295.41
46YCO,WHRKN,1839.30
MABWW,WV94C,1676.31
VJV2D,M9NSY,278.20
CA1H1,ZRFPG,695.67
JWXSS,NG13U,602.85
1XG6O,878MI,1553.99
G06XS,X25VR,1733.10
0WYR7,UB8C4,1188.59
IP7TK,X49BC,452.20
4L0BA,J30TA,1151.61
G06XS,M4N4M,1177.00
EDOMX,QYHTA,496.13
FZ6BO,A501E,320.95
AZB2M,WCYUW,548.58
T40C2,UAB0Y,1630.85
Q24R1,05T1K,719.85
GJK7R,QB6QP,1894.98
46YCO,D05NK,143.49
BK9EY,WPQ2D,127.65
9CR7S,LPMRZ,104.50
C9XKL,2RWYC,1591.95
67EYU,UDROS,8.80
GOW8W,1ZSNN,133.54
U4K0S,0MYC6,624.75
859E2,ODT6F,54.99
LHRYU,RX4XW,174.88
3XOCG,5QT5C,1103.38
C8HL5,ACV5K,1414.48
J5PAC,53SQI,758.40
3S3MN,WHAWF,254.98
A0B31,40ZOV,1407.62
JQY1C,3IT62,122.49
HQF90,DX25V,1134.52
LQ8DW,2XSNC,1772.57
0X722,61QRG,1131.40
77KUY,0VJPX,1937.30
DGX8H,9NK1W,121.74
TJ6FX,D7KEH,877.30
HVJUT,VVZIM,1412.48
61A69,6MXTX,1719.65
670AO,GJN4E,1043.11
U5R93,WAVMQ,78.30
T40C2,HGT1F,687.30
UHYY9,4L7EB,1200.24
WJRLZ,E7OIP,1391.30
XZJXD,GDSJ3,847.53
859E2,0W57C,712.98
OTAU7,KSGE2,1581.14
LC3OK,WWLPO,1703.59
HYR8F,LD6L4,960.28
RVZRR,XUK78,719.36
W7QGR,A4NY9,210.14
0WYR7,B8LZY,1989.87
9CWE6,Z0MAF,150.55
MABWW,5S22C,745.94
AXYFV,49ZYJ,577.16
YFIBA,V2XB0,861.24
U5R93,HL1U7,1754.23
KYTZ7,ONHCG,10.77
DRNO4,B1551,740.56
GQM6L,I9L7K,1130.52
V1RZB,6Y8JS,767.19
SB3L6,39GDX,388.31
BF3QQ,BPQT4,152.75
XAY57,CCKL2,1909.95
N8P04,VF5GB,1789.83
0YDV7,DZMKZ,1767.30
F98VS,OR4B7,1878.75
T02WF,4AZ07,696.24
YA5CE,YZ6S4,493.24
F1I7H,LSYV9,1223.65
Y26NY,2D9NJ,576.49
HFAMO,DQIGN,1765.53
LAAAV,Z8ARP,1795.10
6WQ8P,LMWIC,186.58
Y10ZO,K2SPN,1618.97
3O35F,8MGDR,590.16
UBB1Y,HJG6W,994.13
UDZHR,5JTDK,1519.59
426K8,6TKZ2,1735.45
J5PAC,R0Z91,1543.21
1JA6J,A6HI1,1704.96
2LVZE,N95A9,1076.46
9X7GU,NYA08,443.92
P4FIZ,HZUHR,1361.20
05M7F,9EGOQ,468.91
QWK5C,XIDC1,1244.86
IH8AP,635K5,1417.97
ISPDE,J5JKD,24.77
1H9CX,3B3ZI,203.88
U5R93,756GQ,1939.42
GJK7R,EG4SO,1520.73
BX2PI,36289,9.42
1MXH9,3X6LA,569.60
O8YYV,5IXRK,1335.23
LJNGC,C802K,421.79
LV4UC,IX6E4,761.77
GPYLB,6S907,1982.62
NW0RD,TV4SE,432.81
P4FIZ,0RLDQ,1555.37
Q1X68,RIQN6,1597.30
XU609,S2PAQ,55.86
7ERSM,NOMII,805.80
3KFLS,JFKKZ,621.00
IJ61L,CI9IY,639.90
SEOMV,S0B27,869.40
4DGUK,VKT7O,1903.29
C9PS9,RCJ9V,1096.72
6ZG2P,L6Y82,1548.99
9CR7S,HTCXX,1818.18
92I2Y,UVB6W,112.16
VKCWC,87TYB,90.62
SW1FA,IJWP3,775.46
DGX8H,FYHRP,244.12
Z6UIX,K5ZO3,294.45
RPWW0,5I0AY,1726.12
CHM29,XEL1N,666.21
G2W79,5XSI3,333.12
SB3L6,L9P3N,1548.95
P8UOK,98XKP,1795.82
KV5S9,E6TD8,1445.81
QWK5C,E5IPT,223.40
20AR2,OSQNL,1644.34
20AR2,7OFKK,1031.19
Y26NY,N6EE8,445.31
FQUO1,TL0NY,1862.84
HYR8F,PH7G6,1258.30
LC3OK,Z71ML,48.61
EJ2DW,8UR1F,374.60
E189I,6VNJH,986.31
6F0TV,GAVEY,1674.19
ET59G,ICCZ6,856.59
UOQ2K,N25NF,1083.28
C8HL5,3MF6F,1205.32
6WQ8P,I03YC,1082.39
GPJ8L,X6TFT,137.35
4Z5VC,MBEW1,429.60
5H4D3,7U5ZQ,1381.83
7IVK8,PXSIB,968.39
Q17SE,EOD6K,401.33
SGSRE,H9K88,1342.30
7VWUB,N9B9M,381.51
Q0UI3,BM21V,1688.82
D7CK2,5R6BR,919.43
NKKLD,BXN3O,40.34
YDQ24,MILXI,788.75
0QEPM,WH64S,1804.50
T02WF,G5H3L,1819.99
3XOCG,4EPK7,1460.38
F1I7H,IDWYZ,738.10
V1RZB,K4UET,978.24
7CIPO,JU8WW,1636.25
3KLP3,KN7Y0,907.98
6F0TV,TGCQG,58.92
1H9CX,OB3ME,218.36
Y4HF3,HYB2U,1581.51
8AOIB,MB7WD,1023.24
142WW,PG93O,441.48
078O0,22V1Z,1856.85
CZOIF,RFAI5,672.61
V5MBV,QYXZ1,1013.66
FCQGQ,TLO0G,903.50
EJ2DW,ZXWEN,1129.60
4VDK3,YNSB8,888.67
3KLP3,BADTV,1968.79
LJNGC,L8I6F,1061.12
CZOIF,8DFT7,1977.76
K3UHS,Q6BRQ,305.27
9R01Y,E86FY,1314.97
HVJUT,MADUT,917.60
HVJUT,4J0AZ,945.16
P3UIF,JKHBF,608.74
Z49UX,VVFC5,1034.36
LBHMK,UH2XI,1039.23
K3VTH,DR5HM,1882.42
K3MXR,023FB,245.20
LZLDV,C4EE5,1021.86
87U6Q,XIVDS,775.60
0C7T4,KWLIJ,1408.35
4GR4S,EUDZ5,18.56
A5WQ0,C2YDP,257.85
7TOUB,YZF44,120.96
OTAU7,PFA1M,1373.76
U3D5E,IMRE9,1193.55
GQM6L,3RE3D,467.58
IJ61L,WAL6O,1227.36
T21O4,Z7B8I,822.94
P283H,DPOVW,806.20
FFBXJ,6TGES,249.49
1149O,XWDWZ,1926.28
Q24R1,57CQB,240.68
4UMXE,WEDE0,1936.16
U4K0S,1IJ4G,1147.73
Q6RDS,KF93G,1214.64
7T5MJ,BEXSP,1820.20
670AO,0G1AD,853.48
BSJMW,GJ63W,362.48
BW3MU,1BB7K,936.68
HSQAJ,QRH80,1262.43
C0UHU,KEDMH,62.68
F98VS,WQVYU,1163.91
FCQGQ,ZFSEL,113.72
JI8HS,F71V4,625.24
TT1MJ,PW5AR,1887.51
FUS1Y,HO3J6,1219.27
4I4WY,K1GCX,27.19
QTM9A,6HMTH,541.18
L4VJ1,4S1DM,1708.83
1VPD1,82Y0C,1504.70
LC3OK,3YK2E,264.95
CTMHY,EDXKI,1287.74
SZXQH,VO5S5,1958.96
0RNM3,BCVG0,1449.30
BHDQW,C73RV,217.87
G2W79,D7NZZ,1492.93
6NS86,YZX0A,1306.59
IJ61L,2G2W0,1059.63
W2FN3,6GVYI,1811.87
6LV2R,PSLIF,1409.32
0YDV7,LTVME,1685.47
HVJUT,52854,924.80
J5PAC,2YGGB,1296.40
KVJNB,7L9D2,771.74
GPJ8L,RT6AO,717.99
OZBPO,ZOXPM,258.16
JWXSS,CCTUH,706.98
G6UPG,TU3AC,541.40
V87IG,PL96O,671.65
4PJSD,REVYL,1511.15
7B5PR,2JES3,1216.29
2LOF1,IJECD,1729.62
NUPCW,XGFKD,1149.80
WUSF0,W1URV,832.80
PVB4C,ICE45,307.28
KVQRA,MOIYX,963.16
KSZOZ,ZYDUA,39.74
XMWLA,IYARV,1244.33
P8UM4,9SBGK,842.27
CAFPE,1LO1L,696.86
SHGFE,4QXXJ,1998.61
BKW17,W30RB,426.11
3K1ND,CZIJG,906.37
WW2NM,8G4BO,1721.57
G6UPG,WRWM4,232.22
FWB4W,D3U37,1711.76
OTAU7,06GCJ,275.10
Y26NY,ECIHL,1969.98
KVJNB,ZHIRU,1314.73
ZLIUE,H78YV,1610.32
U5R93,IYCCI,964.85
YA5CE,3U3CR,217.29
5PQAC,EZ27Z,1452.93
HVJUT,4DYXY,1253.59
CZ859,UUUQH,897.80
BSJMW,ZG4HN,1611.75
87U6Q,1V9FH,1901.96
36SYH,7FX8V,174.74
1JA6J,7GPB2,730.65
6KVU0,5W9NE,928.20
LBHMK,ZH4NE,95.90
L6USX,W55CI,1390.23
A8U7K,YSRFE,727.15
9R01Y,0XW9D,1044.19
L18JT,R1HRI,1053.29
SAZF9,Q9NRW,779.57
KV5S9,RLMFM,932.57
3FLK5,8OE88,1846.00
SZXQH,L6K92,1484.20
7ERSM,UY2H9,575.71
H2NH0,NKRP6,1064.23
CHM29,UQMSY,681.52
WUSF0,NQG7W,1569.43
3FKG7,JCKHV,591.25
FWVAJ,GEOZP,823.99
3FLK5,OLM34,524.30
P4FIZ,6RLUI,1320.20
TGD2Z,K8GM8,10.63
Z6UIX,THFWC,932.89
IUWG8,S73FI,1905.75
0RNM3,0IXUU,501.70
3DEPB,JCQB2,1884.29
6NS86,OD56O,1979.92
R5OOD,YBIX4,1447.38
X1CL7,UYE30,863.26
7CIPO,L04GR,686.65
87BU7,HK6U7,644.56
MJUC1,M4FF2,1987.64
QFR1K,220YV,1257.13
MABWW,5OTOB,1100.49
KR138,D4CC0,1979.11
QN99Y,KVYZZ,226.30
7H518,LR320,558.80
6PA04,9KF13,1186.23
G06XS,ECC6D,16.83
ZTLSE,ERFBY,556.30
Y26NY,D8PUU,653.20
3KLP3,25058,1018.33
VWQZC,LBRR3,682.28
3RNZG,5INUN,1774.10
4VDK3,3C5S5,514.47
NJN0G,BD3R5,813.30
4I4WY,0832A,1468.84
3KFLS,GRMIA,1536.33
6P3VN,2SR3U,123.24
4UMXE,6VP33,377.78
JEEP3,X4PVJ,1911.14
3KLP3,6SHXR,184.10
X1CL7,X4YTY,67.23
3KLP3,MZZJW,1527.13
E9K7C,JSDUQ,339.62
69SJG,MBV8I,1041.67
CTMHY,RO6ZX,405.96
DAWJW,2TCNB,679.93
KVQRA,R1226,1833.42
152MD,L8WZZ,1338.54
YFIBA,3OPPI,1827.68
ZST93,2P8EP,1866.00
IH8AP,2RSLR,350.78
JEEP3,8A190,1934.90
N3780,3UO3F,1456.34
FUAY0,IWOX0,718.21
4DGUK,2A0CU,1437.59
PB6Z6,D1U9G,962.88
UADIT,HOPZN,1603.85
T02WF,CBK8A,1960.55
22VQ9,HRIGC,597.80
8AOIB,S2WK2,562.52
8AOIB,2IZJ1,127.72
4Z5VC,FTE5K,1019.86
WSHUH,KH9YG,298.89
TJ6FX,TQXJ6,1180.46
A34BI,4VT8G,1243.53
6FWZI,P3Q01,1879.68
