buyer_id,seller_id,quality,pricing,delivery,rating_date
DR99N,L6USX,,4,4,2022-07-12
DR99N,ET59G,2,,3,2022-05-07
B9099,8AOIB,,,,2022-05-02
B9099,UOQ2K,,,,2022-07-01
B9099,9X7GU,,,3,2022-01-20
9YSA1,XAY57,,,,2022-06-11
9YSA1,426K8,,5,3,2022-03-15
9YSA1,XWXLZ,,1,,2022-08-02
2NXQQ,R8LB9,,5,5,2022-09-03
2NXQQ,T4T3I,,,2,2022-02-02
2NXQQ,J5PAC,4,4,,2022-10-09
9CX7X,IBCNI,,,,2022-02-20
9CX7X,NUPCW,3,5,,2022-01-06
9CX7X,6FWZI,1,,,2022-06-06
HVYPZ,4GR4S,,,1,2022-09-21
HVYPZ,WPI4A,4,,,2022-06-12
HVYPZ,EXO6D,,3,,2022-05-03
KX7PW,WJRLZ,,,,2022-01-02
KX7PW,36SYH,5,5,,2022-03-24
KX7PW,JUDOH,,,,2022-01-06
SNKBL,RVZRR,,,2,2022-10-06
SNKBL,C78AR,,3,,2022-10-21
SNKBL,KV5S9,1,,1,2022-01-01
GKKI8,4VDK3,,1,4,2022-09-20
GKKI8,QFR1K,,4,,2022-07-25
GKKI8,PINBW,,,2,2022-08-26
05K3U,WH1ZH,4,,,2022-02-07
05K3U,OREG1,,1,,2022-03-15
05K3U,FWVAJ,,5,4,2022-02-16
B1JLP,5JJX3,1,,,2022-08-25
B1JLP,IP7TK,2,,,2022-09-10
B1JLP,0WYR7,,,3,2022-03-19
3JKX9,QCIEZ,4,1,,2022-04-28
3JKX9,LJNGC,,4,,2022-04-19
3JKX9,LHRYU,,4,,2022-09-25
BMK8A,PZXJ8,,1,,2022-03-12
BMK8A,CYGAE,,,,2022-02-08
BMK8A,SZXQH,5,1,4,2022-07-04
KIIZ7,BJLLH,4,,,2022-06-04
KIIZ7,Q1X68,3,1,,2022-09-01
KIIZ7,7QINW,,1,2,2022-02-01
GWS4Y,A8U7K,,4,,2022-04-17
GWS4Y,CYGAE,,3,5,2022-06-25
DIVWB,7H518,,,,2022-02-14
DIVWB,4OUJ8,2,,,2022-04-10
DIVWB,HGTUB,4,,3,2022-02-21
4DMZ0,JWXSS,,,,2022-09-11
4DMZ0,5NRYI,,5,,2022-07-22
4DMZ0,8HSSP,,,,2022-09-10
AYMCG,8MZDC,4,3,2,2022-09-08
AYMCG,8AOIB,3,,1,2022-05-15
AYMCG,WHC3M,1,,,2022-02-14
VLADK,CXDQI,3,,,2022-03-01
VLADK,GQIZU,1,1,,2022-04-19
VLADK,BKW17,,2,2,2022-01-08
9CDZ6,Q17SE,,1,,2022-01-17
9CDZ6,LBHMK,,,2,2022-01-16
9CDZ6,A8U7K,3,5,,2022-03-21
VO9HI,L6USX,3,3,2,2022-09-22
VO9HI,QTM9A,,,4,2022-04-11
VO9HI,FWB4W,,,,2022-08-05
4N2BL,G9Q2G,,,4,2022-05-03
4N2BL,MJUC1,1,1,2,2022-05-23
4N2BL,G06XS,,4,,2022-08-09
KWXKL,Q24R1,,1,,2022-01-17
KWXKL,QQB6Q,,4,,2022-10-18
KWXKL,P8DKB,,,4,2022-09-30
YTQBP,1WI5Q,,,5,2022-08-24
YTQBP,KV5S9,,,,2022-09-12
YTQBP,36SYH,,5,4,2022-07-12
ROX80,N169E,,,,2022-10-04
ROX80,WX9FX,,,,2022-09-08
ROX80,R5OOD,,1,,2022-06-28
NI81W,Q1X68,,5,3,2022-09-06
NI81W,PV7VX,,,4,2022-06-19
NI81W,87CKX,1,4,,2022-05-25
K7BSE,4FD3N,,,,2022-07-28
K7BSE,JCCF8,,,,2022-03-11
K7BSE,3RNZG,,4,,2022-03-22
89PH1,FFZPQ,,,,2022-05-26
89PH1,RYVDX,,,3,2022-08-17
89PH1,5JJX3,,1,3,2022-04-24
8SECR,BJLLH,4,,2,2022-01-04
8SECR,GVYOF,,3,,2022-02-23
8SECR,UFNUW,,1,,2022-02-28
OCYY1,WH1ZH,,4,,2022-04-16
OCYY1,1H9CX,,,2,2022-05-10
OCYY1,9CR7S,,,1,2022-05-12
VGVF8,HFAMO,,,,2022-05-23
VGVF8,85TQL,,,3,2022-10-07
VGVF8,K3MXR,,,4,2022-02-06
KLLWU,P3UIF,,,,2022-05-12
KLLWU,231ZN,,,2,2022-08-29
KLLWU,C1NTG,2,,,2022-01-14
19AOW,NJYKN,5,2,,2022-01-17
19AOW,AWFGJ,,,,2022-04-15
19AOW,N7TIV,,3,,2022-03-05
YLVNU,0C7T4,,3,,2022-02-28
YLVNU,7IVK8,,,,2022-08-15
YLVNU,4GR4S,,,2,2022-04-23
A6VKI,R5OOD,,3,1,2022-05-21
A6VKI,JCCF8,,,,2022-06-03
A6VKI,6F0TV,,1,3,2022-08-02
YCOTD,AZB2M,,,3,2022-02-20
YCOTD,6F0TV,,,4,2022-04-24
YCOTD,BK9EY,3,,1,2022-02-14
UWS65,VX9SU,,,2,2022-07-05
UWS65,GLVQG,,3,4,2022-10-11
UWS65,KGD5Z,4,,,2022-04-04
806KP,P35EW,1,1,4,2022-01-19
806KP,EGA3T,,,,2022-04-30
806KP,PRBZA,,,,2022-03-11
IYR3G,L4VJ1,,,,2022-07-23
IYR3G,ZVZGY,,,4,2022-10-10
IYR3G,1E2BT,3,,,2022-01-28
ZZYOG,5H4D3,1,3,,2022-04-28
ZZYOG,LZLDV,4,2,,2022-05-08
4AJIZ,HYR8F,3,5,1,2022-04-27
4AJIZ,5H4D3,1,1,,2022-06-11
4AJIZ,19J34,,,,2022-02-12
D8QFI,RPWW0,1,,3,2022-02-08
D8QFI,L4VJ1,1,,2,2022-08-06
D8QFI,N169E,,3,,2022-07-06
FKLYG,CCMQG,,2,2,2022-07-04
FKLYG,BV5DO,2,4,,2022-05-14
BU7CW,RLY94,,3,5,2022-02-18
BU7CW,PHPNC,,2,,2022-07-06
BU7CW,29003,,5,,2022-02-15
FPXIF,TJ6FX,3,,3,2022-09-29
FPXIF,HH8AJ,1,3,2,2022-07-13
FPXIF,6FWZI,,,,2022-06-15
VYCQV,T21O4,,,1,2022-01-15
VYCQV,7TOUB,,3,4,2022-04-28
VYCQV,FRH4L,,,3,2022-05-11
LLZ6O,7WHJR,,,4,2022-10-13
LLZ6O,K3VTH,3,2,2,2022-09-24
LLZ6O,4CXZQ,,,,2022-03-02
66PSO,4GR4S,,,4,2022-03-06
66PSO,OZBPO,,3,,2022-09-01
66PSO,3FLK5,4,,,2022-08-08
LRD1B,FFZPQ,,,,2022-05-26
LRD1B,MJUC1,5,,5,2022-09-06
LRD1B,22VQ9,,,,2022-02-03
010JB,8RY42,2,3,,2022-01-26
010JB,4OUJ8,,,,2022-02-02
010JB,Q9QW3,4,,,2022-03-18
1A6DQ,08KUN,,,,2022-10-19
1A6DQ,0WYR7,5,1,,2022-03-27
1A6DQ,3I68A,3,4,,2022-01-24
ZTV8E,U29GK,3,,1,2022-05-30
ZTV8E,VJL5E,,,5,2022-01-04
ZTV8E,SGSRE,,2,3,2022-02-08
HRDSY,L3VKI,,1,3,2022-06-02
HRDSY,JH82V,,4,,2022-08-05
HRDSY,ZVZGY,,,,2022-07-21
EU9FM,A7G8C,5,,1,2022-04-23
EU9FM,4I4WY,2,,3,2022-06-24
EU9FM,9R01Y,1,5,3,2022-07-09
I4UAO,ZST93,,,,2022-08-16
I4UAO,S3AB0,,,4,2022-10-05
I4UAO,BSJMW,,,,2022-09-21
XYGE7,AZB2M,,1,,2022-03-26
XYGE7,4Z5VC,1,,1,2022-06-14
XYGE7,RVZRR,,3,,2022-02-02
B75QF,Y1GW1,,3,3,2022-05-24
B75QF,1WI5Q,1,,,2022-03-27
B75QF,A5WQ0,,5,,2022-04-12
L6WTT,R2YNB,,,,2022-08-16
L6WTT,4OUJ8,,5,,2022-03-06
L6WTT,QWEC7,,,4,2022-06-17
5EO9W,O9NN6,,4,4,2022-03-16
5EO9W,BQ74R,,4,2,2022-05-20
5EO9W,8RY42,,,3,2022-02-14
7BLST,C8HL5,,3,,2022-01-25
7BLST,UDZHR,,,2,2022-09-30
7BLST,TJ6FX,1,,1,2022-01-11
IHKYE,C9PS9,,,2,2022-07-24
IHKYE,6RCV4,3,5,,2022-06-25
IHKYE,J5PAC,,,,2022-10-20
YK2FC,SFE8H,2,,,2022-09-20
YK2FC,NUPCW,,1,2,2022-03-20
YK2FC,A5WQ0,1,2,4,2022-02-16
DCPZS,KR138,,,,2022-07-13
DCPZS,3FKG7,3,,3,2022-06-04
DCPZS,PQEAZ,2,,,2022-04-10
1KW1Z,U3D5E,,1,4,2022-03-22
1KW1Z,TH583,,5,2,2022-09-06
1KW1Z,5PQAC,,,,2022-01-17
3OZAF,GVYOF,,,,2022-08-31
3OZAF,GV6M6,4,,1,2022-02-26
CS52N,YRL14,3,,1,2022-02-10
CS52N,0HGJC,,,3,2022-03-18
CS52N,RBL4D,3,,3,2022-06-28
26AJ1,87CKX,2,,,2022-05-27
26AJ1,GV6M6,,,,2022-05-21
26AJ1,CXDQI,,5,3,2022-08-01
1N21A,CAFPE,,,2,2022-02-28
1N21A,0ZJZT,1,,,2022-02-10
1N21A,1H9CX,,,,2022-08-20
WWWUR,9WYAI,,3,2,2022-07-09
WWWUR,FUAY0,,5,2,2022-02-27
WWWUR,WJRLZ,,2,,2022-08-07
W8R0N,JEEP3,1,,3,2022-06-07
W8R0N,BJLLH,2,,5,2022-09-05
W8R0N,KR138,,,1,2022-09-22
ZIKWD,CCMQG,,5,5,2022-06-14
ZIKWD,CUVCD,,3,2,2022-07-22
ZIKWD,V5MBV,,,,2022-07-12
Q273R,QN99Y,,,4,2022-09-21
Q273R,UEVYS,,,4,2022-05-06
Q273R,TH5WQ,,5,2,2022-07-13
WXB0W,TH583,,,,2022-07-13
WXB0W,3QPJE,4,2,5,2022-09-04
WXB0W,UEAU3,4,,,2022-09-18
E8IE5,K3MXR,,,5,2022-03-20
E8IE5,JY3X4,,3,,2022-07-30
E8IE5,CUVCD,3,,3,2022-08-25
YE9Y0,E189I,4,,5,2022-03-26
YE9Y0,D73LI,,,,2022-01-04
YE9Y0,3O35F,4,,,2022-05-13
HLC2X,IBCNI,,,,2022-10-02
HLC2X,C9XKL,3,,,2022-10-18
HLC2X,LQ8DW,5,,3,2022-05-04
0PI7Y,GLVQG,,,,2022-05-05
0PI7Y,H7FKP,1,4,4,2022-01-14
0PI7Y,TIQ1A,,,,2022-07-23
9GVYW,7IVK8,2,,,2022-02-27
9GVYW,UP16N,,2,5,2022-04-10
9GVYW,AZB2M,,1,3,2022-08-23
W2TUF,MK3V5,,,,2022-03-02
W2TUF,JCA8Q,5,,,2022-05-28
W2TUF,8K3RE,3,,,2022-08-15
NQ3MK,U4K0S,1,,1,2022-04-25
NQ3MK,QN99Y,3,,,2022-10-06
NQ3MK,IP7TK,,2,3,2022-10-02
XEKDS,RVZRR,,3,,2022-07-02
XEKDS,6PA04,,,2,2022-01-26
XEKDS,OPGY0,,1,,2022-02-02
ISY5F,IP7TK,4,,3,2022-07-20
ISY5F,CZ859,,5,,2022-01-16
ISY5F,A8U7K,,,,2022-01-26
CXKB1,PB6Z6,,,3,2022-03-29
CXKB1,85TQL,,4,,2022-02-20
CXKB1,DW4SG,2,,,2022-01-16
HGY3Q,P1ZUA,,4,,2022-04-27
HGY3Q,67EYU,1,1,1,2022-01-06
HGY3Q,08KUN,,,,2022-10-22
7DTDQ,GVYOF,5,,,2022-06-24
7DTDQ,1E2BT,,,,2022-05-09
7DTDQ,87CKX,,4,2,2022-03-04
TABM6,XV9E8,5,,,2022-02-27
TABM6,6PA04,,2,2,2022-09-12
TABM6,NL2WY,1,,2,2022-06-28
MEID7,87BU7,,1,,2022-05-25
MEID7,NBQEK,,1,,2022-07-16
MEID7,FRH4L,,,,2022-05-29
32MLE,EBQH2,,,,2022-07-25
32MLE,PB6Z6,1,3,,2022-07-15
32MLE,8MZDC,,4,,2022-01-14
REXP7,FWVAJ,,,,2022-08-11
REXP7,3QPJE,,,,2022-02-05
REXP7,3K1ND,,5,,2022-09-21
RGJQ2,RLY94,,,4,2022-07-21
RGJQ2,XWXLZ,3,,,2022-10-22
RGJQ2,JCCF8,,,,2022-08-22
NXRXT,ZVZGY,5,2,3,2022-01-30
NXRXT,LJNGC,,,,2022-10-18
NXRXT,4UMXE,4,,,2022-06-15
5ON83,HFAMO,,,,2022-10-21
5ON83,Q9QW3,,2,,2022-03-22
5ON83,A5WQ0,2,,,2022-04-23
9UKNK,YDQ24,1,3,,2022-07-27
9UKNK,NJYKN,,5,3,2022-08-21
9UKNK,J83G9,,,1,2022-06-12
190M0,19J34,1,,,2022-07-07
190M0,PRBZA,3,1,,2022-05-31
190M0,MRY5A,2,,,2022-08-24
FDXK3,RLY94,,,,2022-08-16
FDXK3,GZ97S,3,1,2,2022-04-01
FDXK3,NW0RD,,,1,2022-01-08
K9XM5,DPGAP,,4,,2022-09-13
K9XM5,92I2Y,,,,2022-01-01
K9XM5,2SZAM,,,2,2022-10-15
R5O4G,87CKX,2,2,,2022-03-12
R5O4G,AWFGJ,2,,,2022-04-28
R5O4G,OFOQB,2,2,,2022-07-16
1X4R3,KR138,,,4,2022-08-10
1X4R3,QMNGC,,5,,2022-04-09
1X4R3,ISPDE,,1,1,2022-05-10
O343K,X342E,3,,,2022-01-26
O343K,AWXDQ,2,,3,2022-07-11
O343K,12TJH,,,,2022-04-12
AQQLE,7T5MJ,5,,,2022-04-28
AQQLE,OTAU7,,5,,2022-10-28
AQQLE,D7CK2,,,,2022-06-08
EFHUG,L6USX,,,,2022-05-30
