ad_id,item_id,seller_user_id,placed_date
QME91,IMK9T,ZST93,2022-07-03
L7KEK,H7ZHD,K3UHS,2022-07-23
8Y1RT,FR0CJ,0HC1E,2022-05-12
RQ879,TYQPS,ET59G,2022-04-23
M1JA6,8HNRI,MRY5A,2022-08-10
YX3C9,Q6Y9L,KVQRA,2022-09-08
OBX7K,81CD0,5NRYI,2022-04-22
5BPPR,CZ8HX,CVK2U,2022-06-21
0E2P2,9PSME,4PJSD,2022-06-10
K2E1Z,P3Q01,IP7TK,2022-10-25
WUFTB,GYBWK,DZC76,2022-03-11
QMZY1,J60K0,G7ZYX,2022-03-03
C3WIR,KOPC4,05M7F,2022-01-24
Z47IC,8XMVH,Z6UIX,2022-04-25
WXAEM,XYSW0,4UMXE,2022-08-24
4CUBU,F3WL1,ZST93,2022-06-13
R0JJZ,68Q33,Y10ZO,2022-09-22
KII4C,4SGJZ,TJX73,2022-09-12
YLWFF,FYKAL,LAAAV,2022-05-09
MQUQQ,F851I,MQBSG,2022-01-04
J29JC,CRJ9N,Z6UIX,2022-08-09
CUEM3,ETORL,Y10ZO,2022-05-15
7KVI4,JF1A2,3KFLS,2022-10-18
7VAFG,ANXVB,DNCLE,2022-10-08
2VY6X,4UAZW,426K8,2022-06-10
BLIBV,R912K,YAK94,2022-07-13
DTYDK,Q1HVC,C9XKL,2022-01-25
E0D2W,ADZWR,UDZHR,2022-02-10
30LB3,NAA18,FWB4W,2022-04-14
YEWGH,B53W6,RJWPA,2022-07-28
LZAU3,6EPJN,6WQ8P,2022-03-07
D8ZQB,8F2RM,6FWZI,2022-04-20
FVWG4,W053N,U29GK,2022-06-06
7SCAY,WBWBB,ZB7CT,2022-06-14
9JKLK,G2VQD,O83AN,2022-03-29
VB4ZC,CFGAT,ZST93,2022-04-25
SVKPW,QZ2C4,AZB2M,2022-06-26
03XIY,ZOV7D,87U6Q,2022-05-02
AYLJB,N6Y1Y,4OUJ8,2022-03-23
6ACDH,8FWGU,N5X40,2022-04-14
YB01V,UZBBQ,J5PAC,2022-07-05
X6N8Z,27ZOS,92I2Y,2022-07-06
WG11P,K2CD7,QR19G,2022-02-27
ZP4ZE,M5XSS,J4F6P,2022-06-03
7X8B4,EALTD,OREG1,2022-10-05
UZG8D,N9B9M,ME7DC,2022-10-16
B0Z1G,CCNGL,PV7VX,2022-03-02
KKV40,YPL86,WW2NM,2022-09-12
S6HXW,9TOD4,K2VIU,2022-10-17
47DMQ,DCF51,K2VIU,2022-03-07
USYCS,5ZS2Q,BX2PI,2022-03-08
0RYNW,L677M,ET59G,2022-05-15
WKB1Z,77X9V,J4F6P,2022-06-26
E189I,0EY1B,T40C2,2022-03-20
KOB7I,E1UZR,AWXDQ,2022-06-11
SVH0Q,OC8QZ,L20JI,2022-09-25
6V8JY,V7WX2,LC3OK,2022-03-11
YWY46,EERSR,K99E6,2022-05-13
0GJJA,LERI7,3LLAJ,2022-09-17
N6HRK,5HG8G,A8U7K,2022-09-19
CAHX4,KWPI4,HGTUB,2022-06-30
2XQ5O,MLE0C,MJUC1,2022-09-01
E6KBK,GEEHM,A5WQ0,2022-05-13
N2ZQB,VK0WY,9R01Y,2022-09-23
K2DYF,VKZMC,JCA8Q,2022-06-20
63C4G,14NRE,0X722,2022-03-20
59Z4Q,U78VC,V20LN,2022-02-18
XKTJ3,ROJWJ,4UMXE,2022-09-02
4Z09F,3Q97W,T21O4,2022-09-17
HSJXG,GS3YH,3XOCG,2022-04-05
DI9MA,RCBHZ,07RB8,2022-09-04
95G49,OF17O,LBHMK,2022-10-05
VGAPO,OSVJ1,9CR7S,2022-01-08
TROA5,LQA5A,L9Y33,2022-05-20
6VFET,N8552,142WW,2022-10-22
XYJOS,63J70,U29GK,2022-08-21
4WSYI,MW9WK,CHM29,2022-01-22
ZSG4S,61A62,85TQL,2022-05-02
WPLV5,NUGFJ,J4F6P,2022-10-13
YY363,A1793,3FLK5,2022-05-24
6T5OU,C8TTN,FUR3X,2022-08-12
UZO1D,KZZIF,XWXLZ,2022-07-01
QMULH,AOREC,9FJ8S,2022-09-15
XBOCA,LC7LK,0ZJZT,2022-08-21
IHMF3,JS28E,OPGY0,2022-10-12
70E8L,WK7XM,ZB7CT,2022-10-14
0Y4A1,7M555,7TOUB,2022-04-04
CRBWX,BEXSP,8LJTP,2022-03-14
I7FQG,HWFRW,Y2ZFL,2022-01-22
JIYNU,XDNR0,G7ZYX,2022-04-08
6H9G4,OTH73,EDOMX,2022-06-06
24L39,XGZAA,1WI5Q,2022-02-10
QYF6V,1UJ0K,UEAU3,2022-07-17
W40B2,BMMKP,8RY42,2022-02-12
2O1PQ,MDMS7,L8LC6,2022-02-07
O2SX5,LZ3IZ,3M1YI,2022-04-25
7FMT7,PYIE4,0WYR7,2022-03-06
JVCVK,8DLVE,6RCV4,2022-06-03
M05MK,Q13NU,H7FKP,2022-10-18
V7MUL,I04YY,R8LB9,2022-05-12
U9MAC,RWUY0,P35EW,2022-08-23
2OG71,P4FIZ,G06XS,2022-10-25
V5MKX,6LAY9,HYR8F,2022-10-16
Z2U3E,2A0CU,Q9QW3,2022-09-21
HJZ38,CZIJG,FXVJ8,2022-06-15
CBZNF,E6FLL,Z5WLW,2022-10-06
08NAI,IKCQ5,M63IT,2022-07-22
88EF5,7AR0K,ZXBS8,2022-10-04
XTFBP,DI1HA,BJLLH,2022-03-09
6XJ3Q,EHP5D,0QEPM,2022-10-26
ROYY6,6DQJD,IBCNI,2022-05-18
QFCJU,IOTNG,4CXZQ,2022-02-08
741UY,MQ6D2,CGC2X,2022-02-22
IJBH1,VULNG,KVJNB,2022-01-05
RQYHW,IRZF9,87CKX,2022-10-23
M88DV,C3UOQ,UOQ2K,2022-06-29
5BQVI,ZG4HN,4FD3N,2022-09-01
G90EQ,6ESUH,86J10,2022-08-18
I5C7O,DOGKE,DPGAP,2022-06-29
NLOZM,D9SEE,SB3L6,2022-09-26
RW9MN,048AF,QCIEZ,2022-01-08
IR9AF,XDEYL,1MXH9,2022-09-13
UCFAS,9VJN4,DRBJ8,2022-03-30
RM69W,AVNN3,CA969,2022-03-19
680HF,QFD9M,F5WTM,2022-03-14
LSP1S,UMYSS,4UMXE,2022-05-08
AREUU,UZVYN,IH8AP,2022-10-27
P7IQD,JV2CT,0Z2LJ,2022-04-22
OQU85,9S7LO,GVYOF,2022-09-09
1XK7D,6EZZ8,519G2,2022-03-15
4YBPF,GP0RV,KVJNB,2022-03-05
LI2AX,K4R5Z,KSZOZ,2022-10-01
P5SRZ,JYKNH,V20LN,2022-09-06
DK7WM,7ZPZ2,51WHM,2022-01-06
TJL9Q,EEOKB,XMWLA,2022-10-25
0KP9I,OLHBA,C9PS9,2022-09-11
7TB3M,69LDO,CCMQG,2022-10-13
Y6YNY,TQY08,UEVYS,2022-08-30
F8AFA,TREMP,9FJ8S,2022-02-10
2R0WZ,HK6D7,9X7GU,2022-06-12
KPNCD,J4142,FUS1Y,2022-03-04
P2I6S,4M3R4,1149O,2022-09-07
WWXT6,ZHNQD,E189I,2022-01-24
4MZV4,34H2Q,KR138,2022-01-13
4SVWY,Z4P7G,19J34,2022-03-26
6TPM1,KHLLE,BV5DO,2022-08-17
K6I78,CT5PR,7B5PR,2022-03-20
Q1T37,NV9W6,1XG6O,2022-04-30
MQ3EB,PUDUJ,7CIPO,2022-05-07
QANLL,4CXFK,HYR8F,2022-05-19
RABBK,T8QOI,UP16N,2022-07-22
IF79Z,6WUM5,TH583,2022-05-25
PZ5XW,MJXFW,P4FIZ,2022-08-23
HBLA8,RQQTP,U4K0S,2022-03-29
NYMUL,1PMBX,MRY5A,2022-03-04
J60OA,1MCPH,WUSF0,2022-03-29
CI6F0,W6HFD,W2FN3,2022-02-20
MDVIU,HRNR4,C0UHU,2022-04-29
4VRE3,F2VXY,UVBIT,2022-01-13
6Q9Z2,480VS,L8LC6,2022-04-18
0IHHL,M4FHX,84ZNK,2022-08-21
G1QRH,1RC7O,6K1RV,2022-08-15
8EACA,PMSO2,7VWUB,2022-04-09
0Y4BU,SDD2W,HSQAJ,2022-02-21
ZODN0,4QCGX,PV7VX,2022-01-12
ZI9T0,W6ST3,UP16N,2022-06-23
8D28J,KLT06,PBHFC,2022-10-11
KF4SR,4EPK7,3FKG7,2022-08-25
AD7EA,NUU4G,X1CL7,2022-03-29
J6IHV,YL4J5,Y10ZO,2022-09-10
UJVEF,XWB18,9ZP9F,2022-03-23
2V548,NU9ZJ,QWAWV,2022-04-25
2YZ84,3BGXG,5MYGN,2022-05-11
OJZ6U,WMG3M,NBQEK,2022-08-06
JJCYH,2D9NJ,U5R93,2022-07-12
TW4ZU,WSRN1,UFNUW,2022-06-01
O6CYX,SK50N,K3UHS,2022-09-13
APE4H,6WWSZ,QN99Y,2022-03-05
P8B76,AR8E8,JY3X4,2022-02-27
WCXLV,FJ37V,C78AR,2022-04-02
0AP4W,0KRSQ,WJRLZ,2022-04-03
47KYS,52LU9,FUR3X,2022-08-29
B3L2U,QSJZI,K5CLT,2022-05-06
J61ZP,AP0H1,OZBPO,2022-10-17
PNQP8,7XKOS,08KUN,2022-06-23
PVJUP,99OKS,NKNLM,2022-09-09
Q9L8H,1ICFS,X342E,2022-10-05
LWPF8,HI5F4,3I68A,2022-09-26
SYR6M,6FE1E,6A1CR,2022-10-15
UBCMM,H1BUL,L6USX,2022-07-24
3FQ6S,DBPHV,DRNO4,2022-03-07
R92T9,NDM2R,P0JA5,2022-07-11
4XOFF,OAANE,Q17SE,2022-08-29
B6VGP,WHBXA,BW3MU,2022-07-26
GTFZI,0O042,BV5DO,2022-06-19
KLOII,7ZGCQ,1VT3O,2022-04-26
TJRNF,BEY1S,CZOIF,2022-06-19
0LMBW,Z73MX,UEVYS,2022-01-07
RFROA,7ATM4,85TQL,2022-09-13
A0IJ5,EXQ8Z,DZC76,2022-08-28
OL3U2,XKZZS,9CWE6,2022-05-21
RMGW5,YQACM,PRF6N,2022-09-10
SNS9Z,FGIRP,BQ74R,2022-04-20
HG7I3,YX8X8,1HBQW,2022-01-19
8MLEQ,XUK78,IUWG8,2022-07-09
Y6DWY,58SFY,PRBZA,2022-07-31
8JCT2,8EHE2,R7K4O,2022-08-05
NZFG8,S68BT,CTMHY,2022-10-21
3KCMO,3SGCB,UOQ2K,2022-08-18
Y0E9N,XWGLM,1H9CX,2022-09-23
FMG6I,B56ZO,6GSGP,2022-03-09
71ZQ4,S7N68,ZLIUE,2022-01-16
NCM2N,T30XR,K99E6,2022-07-20
JP34F,N4Z05,19J34,2022-04-18
SZVTF,5W796,YA5CE,2022-09-23
XFOI0,CIZ9R,D73LI,2022-03-18
5SJ7X,MDWWJ,OREG1,2022-01-30
UUEXM,WL502,G9Q2G,2022-07-14
71YZC,W1URV,8AOIB,2022-04-20
SJ7M5,AZI9G,ZVZGY,2022-04-01
J1QNH,21SSY,YDZC3,2022-07-22
81LCT,V4DM9,VPIG7,2022-06-06
XGG5P,VAB3D,7B5PR,2022-08-13
F3QQ9,FSQ3D,OZBPO,2022-10-13
H7K5P,QVE5Q,FRH4L,2022-03-22
JJLEG,YBE2H,3XOCG,2022-01-18
3Q0CE,C8LVX,K52E6,2022-01-16
2DWVQ,YF59W,CUVCD,2022-07-08
BSPNF,8MWF5,O0KP9,2022-02-02
7N2UA,OH7OM,IXU4J,2022-01-01
79IV8,WP0ER,PHPNC,2022-06-02
TG2RP,B6L45,QLECR,2022-01-14
TFXJ2,913R9,LZAU3,2022-06-20
2DS61,KRW2B,6QJGV,2022-08-14
7MKAR,E6QYU,0HGJC,2022-03-18
QM54Q,1FO1Y,CZOIF,2022-05-29
5RLAN,S16IZ,CAFPE,2022-04-13
GB1TU,4XXY4,0QEPM,2022-10-18
IHPW4,ANXU6,0R2KU,2022-06-28
W110X,Q83P8,H7FKP,2022-03-01
92IGA,K2HTL,NL2WY,2022-08-25
PZG0D,TKKOY,AADER,2022-05-01
TR7H9,HT3YM,SZXQH,2022-01-31
JAFVV,ZVVTC,U29GK,2022-01-07
PX3Q8,5I0AY,0YDV7,2022-09-10
ZAGAG,ZX8TZ,DDZV9,2022-01-20
T8H6T,C3NV8,9CK79,2022-06-01
SDPHK,WNPM6,FUR3X,2022-07-15
3QK2B,PBCIG,RLY94,2022-09-05
HGTFY,3CRG2,7QINW,2022-08-24
YO369,I6OOA,L4VJ1,2022-10-15
A0OSW,D8PUU,F98VS,2022-06-21
3QWRK,ZRT7H,EDOMX,2022-10-23
V9IC5,N3WOD,JWXSS,2022-09-01
1B84V,AYP1L,WW2NM,2022-03-11
S026S,LQ4YI,FUS1Y,2022-01-17
FWY0Y,LWOJJ,GV6M6,2022-03-21
Z9A1S,BEDDY,7WHJR,2022-04-15
1ZT49,6FE1E,6A1CR,2022-08-13
KWC12,I53DI,F98VS,2022-10-20
OVOYB,OWS7F,QWEC7,2022-08-29
5EGLC,A6GK8,36SYH,2022-03-11
LA711,HGT1F,92I2Y,2022-07-21
2T8CK,TCM7S,20AR2,2022-05-05
GH4ST,UYZ5O,Y4RHZ,2022-01-07
RV3ED,DND5A,62876,2022-10-05
3T9NY,FSIIK,V87IG,2022-10-02
CFXAS,1BZKW,Q6RDS,2022-05-31
CCJK4,MLZ88,P8DKB,2022-06-11
B9IGE,9AMVO,8MZDC,2022-05-21
HMG51,SYZYY,Z0LJU,2022-08-03
26K8G,R8ZNT,WJRLZ,2022-04-11
16IF6,58SD0,BIVH0,2022-08-23
9PGYX,G9WMY,84ZNK,2022-07-29
8ZTPF,L684Q,BL4U8,2022-07-06
XSW6X,RL0FW,4OUJ8,2022-08-20
JQNIL,VAPZV,O83AN,2022-09-18
4IRQI,085HX,ZXBS8,2022-01-01
WUMG6,2C2U8,H7FKP,2022-09-09
QUMHP,UIG0A,F5WTM,2022-08-10
GRY9W,AEZ0L,1H9CX,2022-07-01
OZC08,E2KKR,3S3MN,2022-08-22
KQCRF,BVXGZ,V20LN,2022-07-29
AROLQ,DOJW6,3O35F,2022-01-03
7HK5M,MOSFB,5JJX3,2022-03-28
CQABK,R66RN,KYTZ7,2022-06-01
ZO9MC,R3GNJ,6LV2R,2022-07-12
82VWX,E5WMF,OZBPO,2022-03-05
B0XL4,WCXLV,61A69,2022-09-11
YAM50,843F4,PHPNC,2022-10-19
KATLG,ELZBH,LV4UC,2022-01-02
ZQ70U,UH85O,T21O4,2022-06-02
HQUQQ,53LLM,OREG1,2022-10-08
6B566,JPAQK,61A69,2022-09-26
0CB09,AUR0N,BQ74R,2022-09-12
RBB5Y,FM2Q6,BKW17,2022-04-04
7294L,UOGGP,V87IG,2022-06-06
NT1EO,KCFRG,7E9AJ,2022-08-11
3I5U2,0530H,Q1X68,2022-09-12
Q5V7O,75F48,3FLK5,2022-06-04
6QZ8G,QG3B4,7TOUB,2022-04-04
6IJEV,LW5LF,0HC1E,2022-08-20
54E7D,GMPPF,3KLP3,2022-09-20
IQFTW,PI8QJ,0C7T4,2022-08-17
XCVGG,JHAMI,19J34,2022-05-16
TXLA4,MB43W,UBB1Y,2022-02-26
NF0R5,ICWTJ,4Z5VC,2022-04-01
YJ1N1,O7OXI,LV4UC,2022-06-11
I3UXS,5BPXO,Y10ZO,2022-04-18
K3IVO,UXGSA,F5WTM,2022-03-28
82ULF,MYM9T,A5WQ0,2022-07-13
WHHYU,TW1LD,ISPDE,2022-07-17
AMTLK,2OSVX,3I68A,2022-01-10
PF7QG,HP963,1VT3O,2022-01-31
FZ35J,HDBUH,QR035,2022-08-11
HJHZG,F6BXN,8RY42,2022-09-04
GNTZL,XWJ9L,8HSSP,2022-09-22
VLZQL,0ZSTH,6FWZI,2022-08-21
FN7W3,5W2TE,GQM6L,2022-08-11
1T3DI,3QEXH,29003,2022-08-10
OOEI2,EHPZB,62876,2022-03-27
OHUIM,OZW2H,F1G3J,2022-10-25
U5V46,Y681K,3LLAJ,2022-02-08
BLRM6,COD2Y,5JJX3,2022-02-12
LHD37,TEFZG,A7G8C,2022-01-08
UVOV5,U4IAW,GV6M6,2022-05-28
B4IAF,THJKW,DNCLE,2022-09-24
HDUTM,LB1T8,RJWPA,2022-07-05
OLXY7,EN3IG,8RY42,2022-07-03
NZCOA,UKONE,N169E,2022-06-10
0JMEI,RVLZQ,OFOQB,2022-04-23
S2V70,WA65H,UFNZK,2022-05-17
R7T28,WN1R6,JUDOH,2022-05-03
VZRAN,CO260,W3UYZ,2022-05-25
Z1IL4,UKF7Y,XYUHX,2022-04-24
KMER6,N9JTY,QWK5C,2022-06-23
L5H4P,SQJ5E,6IPKS,2022-08-16
HD7CF,11WU4,Y26NY,2022-09-16
IJNWX,U1CXQ,GPJ8L,2022-03-14
5IV7N,JDLBS,22VQ9,2022-03-02
2SGI0,S7MF0,JI8HS,2022-10-04
MILRR,QJNLX,VPIG7,2022-02-09
V8GFZ,PONU9,GLVQG,2022-07-05
V1PV1,YZX0A,UP16N,2022-04-06
45TPY,050LI,PHPNC,2022-06-16
KF9R3,0MYC6,C78AR,2022-05-02
KJ9V3,EUDZ5,QMNGC,2022-05-31
3HITV,BR9EJ,46YCO,2022-05-27
52AUJ,EPY1I,AZB2M,2022-09-05
TLKF0,V7WX2,LC3OK,2022-09-30
8I0VI,X2NY2,FRH4L,2022-09-13
KFFPH,VR5P7,0QEPM,2022-02-06
MBYVQ,Y8XJQ,QR035,2022-08-11
27CT2,TLFZ2,Y10ZO,2022-05-17
O4A7Z,XVC1J,87CKX,2022-03-15
WSKLR,GY5X2,SHGFE,2022-09-04
DRXG0,R1CW2,N7TIV,2022-10-07
HWYJT,K3HA8,KVQRA,2022-02-06
EP8EN,UGQFT,NBQEK,2022-07-17
9GKKD,MGXIN,YA5CE,2022-04-12
N8D5E,695U4,8Q3XK,2022-03-22
MK5M7,PFWM8,3KCY4,2022-02-06
FJX8A,CCC53,6WQ8P,2022-07-05
8OTA0,1M8JK,RPWW0,2022-07-12
RWGTJ,VH764,QCIEZ,2022-09-07
AZA1O,AJQOT,Y2ZFL,2022-07-27
SAL38,CU1WJ,VJV2D,2022-02-14
ACFIZ,TVSC3,KSZOZ,2022-09-05
O9GBC,XPGWK,8X3PV,2022-09-17
SKYBU,DOPBR,SB3L6,2022-04-20
6WPC0,XSDKM,T4T3I,2022-04-07
DMV3L,PDYWN,62876,2022-08-26
MHSUV,91QWU,XAY57,2022-01-12
5KYO0,G0T0N,WHC3M,2022-02-27
2XC7O,B907L,FWB4W,2022-01-11
5OF8H,ZHIQQ,86J10,2022-03-15
TBUHI,12A9L,G9Q2G,2022-09-10
QAXIC,H9AEI,BSJMW,2022-01-19
R0DPR,016DI,H2NH0,2022-01-13
GR5XS,ID80Q,HQF90,2022-02-22
GWSMV,SMLMR,Z6UIX,2022-07-03
MMYH8,SJHD5,Z49UX,2022-03-16
WZB8C,JUTW1,Y4HF3,2022-08-23
QM6TF,K6F80,M2HT6,2022-10-26
19WLJ,K0S54,670AO,2022-05-11
SL5SP,6FIET,JEEP3,2022-04-15
MW1RU,M3NXI,O0KP9,2022-06-10
I3W6I,4IOM2,5PQAC,2022-04-04
3Z4UT,KYSGP,G06XS,2022-08-15
C0E3L,FYCNQ,7WHJR,2022-02-16
ZOSG1,5BIP5,4Z5VC,2022-03-19
BDZ07,OT7KI,MRY5A,2022-10-13
PKGH8,ZZEBR,QCIEZ,2022-06-19
56P1J,07W0X,LAAAV,2022-02-02
LBVJG,9FRB4,UEVYS,2022-07-11
PG9G4,YJOSM,4DGUK,2022-04-01
FNCZQ,1ND3Q,LHRYU,2022-03-22
VQE2I,POV3M,DGX8H,2022-04-17
2RVQ2,6XBIN,NCDRU,2022-05-26
UPWXW,EJL0E,ZB7CT,2022-02-26
Z8TZB,MBIR1,IXU4J,2022-02-07
1JFID,1INO4,PRBZA,2022-01-26
XPFO1,0BO2O,1JA6J,2022-01-25
SBE3R,TA0P2,L18JT,2022-10-25
2AKAK,FU0WT,KGD5Z,2022-06-06
DOO5Q,WMTTJ,MABWW,2022-09-08
X8U56,H0LQB,BF3QQ,2022-09-16
